"bm_loadout_rifle_american","Assault US"
"bm_loadout_rifle_russian","Assault RUS"
"bm_loadout_shotgun","Shotgun"
"bm_loadout_sniper","Sharpshooter"
"bm_menu_vr_effect_less","$version; has less effect in VR"
"bm_menu_vr_effect_none","$version; has no effect in VR"
"bm_menu_vr_locked","Not available in VR"
"bm_menu_vr_skill_ace","Aced version"
"bm_menu_vr_skill_basic","Basic version"
"bm_menu_vr_skill_both","Skill"
"bm_menu_vr_skill_perk","Perk"
"dialog_ask_load_vr_beta_progress","Your VR beta save is more recent than the last Steam save.$NL;$NL;Press YES if you want to load your VR beta save."
"dialog_heist_locked_text","This heist is currently not available in VR."
"dialog_heist_locked_title","Not available in VR"
"dialog_vr_calibrate","Calibrate height"
"dialog_vr_procedural_animation_text","Procedural arm animation is now available in third person! This allows other players to see your arm gestures. Use the menu on the left side to enable and calibrate the animation system!"
"dialog_vr_procedural_animation_title","Procedural arm animation"
"dialog_vr_settings_text","Before proceeding you need to calibrate your height. Stand up straight and press ''calibrate height''."
"dialog_vr_settings_title","Required VR Settings"
"hint_skill_messiah_get_up_vr","Dash to get up!"
"hud_heist_bbv_01","do it"
"hud_heist_bbv_01_hl","Enter the bank"
"hud_heist_bbv_02","do it"
"hud_heist_bbv_02_hl","Drill into the vault"
"hud_heist_bbv_03","do it"
"hud_heist_bbv_03_hl","Loot the vault"
"hud_heist_bbv_04","do it"
"hud_heist_bbv_04_hl","Secure the loot"
"hud_heist_bbv_05","Escape!"
"hud_heist_bbv_05_hl","Escape available"
"hud_int_hold_action_choose_hand_left","Choosing left hand"
"hud_int_hold_action_choose_hand_right","Choosing right hand"
"hud_int_hold_action_choose_handedness","Choosing hand"
"hud_int_hold_choose_hand_left","Hold $BTN_INTERACT; to choose the left hand"
"hud_int_hold_choose_hand_right","Hold $BTN_INTERACT; to choose the right hand"
"hud_int_hold_choose_handedness","Hold $BTN_INTERACT; to choose the $HAND; hand"
"hud_int_hold_choose_handedness_left","left"
"hud_int_hold_choose_handedness_right","right"
