"ammo_bag","The ammo bag can be deployed on the ground, so that you and your crew can use it.$NL;Ammo for everyone.","","","","",""
"ammo_bag_increase","This upgrades the amount of ammo that can be acquired from the bag.$NL;Even more ammo for everyone.","","","","",""
"body_armor","Body armor removes some of the damage received in combat.$NL;Good when moving between cover or in close combat.","","","","",""
"clip_ammo_increase","This upgrade adds more bullets to every clip.$NL;Some extra bullets can make all the difference in the world.","","","","",""
"clip_amount_increase","This upgrades the ammo clip amount for the GL40 Grenade Launcher.$NL;Why carry few ammo clips, when you can carry many?","","","","",""
"damage_multiplier","This upgrade increases the damage of the weapon.$NL;Nice when taking down heavier enemies.","","","","",""
"des_aggressor","All your teammates get a damage multiplier. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_ak47","STATS : 7.62mm : Automatic : Medium recoil$NL;Stick it to the man with the premiere choice amongst entrepeneurs and thugs alike. Simple Design, high reliability, low cost and so popular it is a part of a national flag - the AK was built to heist.","","","","",""
"des_ammo_bag","The ammo bag is deployable equipment. Once placed it can be interacted with by any player to fully restore all ammo until depleted.","","","","",""
"des_beretta92","STATS : 9mm : Semiautomatic : Low recoil$NL;The B9-S is one of the most used law-enforcement pistols today.$NL;The relatively light damage is compensated by its big clips.$NL;A sidearm for the professional.","","","","",""
"des_body_armor","Body armor absorbs more damage before the wearer get hurt. How much more depends on the upgrade level.","","","","",""
"des_c45","STATS : .45 Caliber : Semiautomatic : Medium recoil$NL;The C45 is a very reliable weapon that has proven its worth over years of use. It does enough damage and carries enough rounds to handle most targets. A good all rounder.","","","","",""
"des_doctor_bag","The doctor bag is deployable equipment. Once placed it can be interacted with by any player to fully restore health until depleted.","","","","",""
"des_extra_cable_tie","Extra cable ties gives more cable ties to start with. How much more depends on the upgrade level.","","","","",""
"des_extra_start_out_ammo","Extra start out ammo allows the owner to carry more ammo. How much more depends on the upgrade level.","","","","",""
"des_gang_of_ninjas","All your teammates melee attack range increases. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_glock","STATS : 9mm : Full Auto : Low recoil$NL;The military has it, the police have it, and now you have it. The Stryk is an easy to use fully automatic pistol, specifically designed to fight crime. Wait a minute...","","","","",""
"des_hk21","STATS : 7.62mm : High capacity magazine$NL;Even though it was originally designed as a mounted machinegun, the Brenner 21 is a mobile powerhouse. With its huge capacity magazine, this is a given choice for the assault specialist.","","","","",""
"des_intimidation","Supposed to give the owner an increased intimidation factor.","","","","",""
"des_locked","Gain cash and level up your reputation to unlock more weapons, equipment and crew bonuses.","","","","",""
"des_m14","STATS : 7.62mm : Semiautomatic : Medium recoil$NL;Chambered for the 7.62 mm round, the M308 has made its way out on the black market after years of military service.$NL;When one well placed shot is all you need, this is it.","","","","",""
"des_m4","STATS : 5.56mm : Semiautomatic : Medium recoil$NL;The AMCAR-4 is one of the most versatile assault rifles there is.$NL;The good accuracy coupled with the high rate of fire prepares its owner for any situation.","","","","",""
"des_m79","STATS : 40mm rounds : Single-shot : Break Action$NL;The Thump-Gun""","The Skill Cannon","The Pro Pipe","The Noob Tube"," and ""The Ex-Wife"" - things we love have many names. The GL40 is a single-shot"," shoulder-fired break action grenade launcher that aims to please."""
"des_mac11","STATS : .45 Caliber : Very high fire rate$NL;Against its original purpose, black market upgrades have converted the MARK11 into a fully automatic monster of a weapon.$NL;When in need of a close range bullet hose, look no further.","","","","",""
"des_more_ammo","All your teammates get to carry more ammo. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_more_blood_to_bleed","All your teammates bleedout time increases. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_mossberg","STATS : 12 Gauge : Quick action$NL;The Locomotive is a compact, extremely fast 12-gauge shotgun.$NL;Clearing an entire room in a few seconds is what this was made for.","","","","",""
"des_mp5","STATS : 9mm : High rate of fire and low recoil$NL;COMPACT-5 is hands down the most frequently used weapon of special operation units.$NL;With its low recoil and compact size it is ideal for urban combat.","","","","",""
"des_mr_nice_guy","All your teammates get a cash multiplier. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_protector","All your teammates get a health multiplier. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_r870_shotgun","STATS : 12 Gauge : Very high damage$NL;There is no more powerful firearm than the pump-action, 12 gauge bore Reinbeck shotgun.$NL;What it lacks in speed, it makes up for in raw, indisputable power.","","","","",""
"des_raging_bull","STATS : .44 Caliber : Six-shooter : High recoil$NL;Primarily developed for hunting big animals, the Bronco has found its use against heavily armored targets.$NL;With its .44 round, it packs a mean punch.","","","","",""
"des_sentry_gun","Based on internet blueprints, the Sentry Gun is a criminal's best friend. Two guns connected to a computer automatically aim and fire at any target detected by its sensors. Being the bad guy has never felt more alien.","","","","",""
"des_sharpshooters","All your teammates get improved accuracy. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_speed_reloaders","All your teammates reload faster. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_thick_skin","Thick Skin allows the wearer to receive more damage before going into bleed out. How much more depends on the upgrade level.","","","","",""
"des_three_angry_men","Crowd control is more effective for all your teammates. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team needs to equip a crew bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"des_toolset","The toolkit allows the owner to organize, carry and protect the tools, making them more effective. How much more depends on the upgrade level.","","","","",""
"des_trip_mine","The trip mine consists of a beam projector affixed to a shaped explosive casing. The laser activates once the trip mine is placed, acting as a tripwire to detonate the mine. If the beam is broken or the charge fired upon, the mine will detonate.","","","","",""
"des_welcome_to_the_gang","All your teammates get a cash multiplier. The benefit of a Crew Bonus only applies to the three teammates of the one who equips it. This means that someone else on the team has to equip a Crew Bonus in order for you to directly benefit from it. Multipliers do not stack if several teammates equip the same crew bonus.","","","","",""
"doctor_bag","The doctor bag can be deployed on the ground, so that you and your teamates can use it.$NL;It will help you help your friends.","","","","",""
"doctor_bag_increase","This upgrades the amount of health that can be acquired from the bag.$NL;It will help you help your friends even more.","","","","",""
"enter_steelsight_speed_multiplier","This upgrade decreases the time needed to bring up weapon sights.$NL;Good when you need to quickly switch to precision aiming.","","","","",""
"explosion_range_multiplier","This upgrades the explosion range for the GL40 Grenade Launcher.$NL;The only thing better than an explosion - is a bigger explosion.","","","","",""
