"ch_aint_afraid","Отримуєте рівень у дереві Штурмовика під час штурму."
"ch_aint_afraid_hl","Я більше не боюся"
"ch_ak47_head_shots","Використовуючи АК, переможіть ##ak47_law_head_shot## правоохоронців влучним пострілом в голову. Використання ближнього бою не зараховується до цього виклику!"
"ch_ak47_head_shots_1_hl","АК проти Закону: Headshot I"
"ch_ak47_head_shots_2_hl","АК проти Закону: Headshot II"
"ch_ak47_head_shots_3_hl","АК проти Закону: Headshot III"
"ch_ak47_head_shots_4_hl","АК проти Закону: Headshot IV"
"ch_ak47_taser_kill","Використовуючи АК, переможіть ##ak47_taser_kill## електрошокеров. Використання ближнього бою не зараховується до цього виклику!"
"ch_ak47_taser_kill_1_hl","AK проти Тайзера"
"ch_ak47_vs_the_law","Використовуючи АК, переможіть ##ak47_law_kill## правоохоронців. Використання ближнього бою не зараховується до цього виклику!"
"ch_ak47_vs_the_law_1_hl","АК проти Закону I"
"ch_ak47_vs_the_law_2_hl","АК проти Закону II"
"ch_ak47_vs_the_law_3_hl","АК проти Закону III"
"ch_ak47_vs_the_law_4_hl","АК проти Закону IV"
"ch_ak47_vs_the_law_5_hl","АК проти Закону V"
"ch_ak47_vs_the_law_6_hl","АК проти Закону VI"
"ch_akimbo","Взяти додаткову зброю."
"ch_akimbo_hl","Акімбо"
"ch_apartment_no_bleedouts","Завершити рівень ""Кімната безпеки"" на важкому рівні складності, без стану кровотечі."
"ch_apartment_no_bleedouts_hl","Кімната безпеки: Куленепробивний"
"ch_apartment_no_civilians","Пройдіть ""Кімнату паніки"" на складності ""Важко"" не вбиваючи жодного цивільного."
"ch_apartment_no_civilians_hl","""Кімната паніки"": Чисте вбивство"
"ch_apartment_no_deaths","Пройдіть ""Кімнату паніки"" на складності ""Важко"" не потрапляючи під арешт."
"ch_apartment_no_deaths_hl","""Кімната паніки"": Як професіонал"
"ch_apartment_on_overkill","Пройдіть ""Кімнату паніки"" на складності OVERKILL."
"ch_apartment_on_overkill_145","Пройдіть PANIC ROOM на складності OVERKILL 145+. Щоб виконати це завдання, потрібно пройти пограбування з початку."
"ch_apartment_on_overkill_145_hl","Близько до смерті"
"ch_apartment_on_overkill_hl","""Кімната паніки"": OVERKILL"
"ch_apartment_overkill_no_trade","Пройдіть ""Кімнату паніки"" на складності OVERKILL не допускаючи обміну заручниками."
"ch_apartment_overkill_no_trade_hl","""Кімната паніки"": Не втрачай обличчя"
"ch_aquire_money_1","Отримайте $20,000,000 готівкою."
"ch_aquire_money_10","Отримайте $1,000,000,000 готівкою."
"ch_aquire_money_10_hl","...і це багато готівки X"
"ch_aquire_money_1_hl","...і це багато готівки I"
"ch_aquire_money_2","Отримайте $50,000,000 готівкою."
"ch_aquire_money_2_hl","...і це багато готівки II"
"ch_aquire_money_3","Отримайте $100,000,000 готівкою."
"ch_aquire_money_3_hl","...і це багато готівки III"
"ch_aquire_money_4","Отримайте $200,000,000 готівкою."
"ch_aquire_money_4_hl","...і це багато готівки IV"
"ch_aquire_money_5","Отримайте $300,000,000 готівкою."
"ch_aquire_money_5_hl","...і це багато готівки V"
"ch_aquire_money_6","Отримайте $400,000,000 готівкою."
"ch_aquire_money_6_hl","...і це багато готівки VI"
"ch_aquire_money_7","Отримайте $500,000,000 готівкою."
"ch_aquire_money_7_hl","...і це багато готівки VII"
"ch_aquire_money_8","Отримайте $600,000,000 готівкою."
"ch_aquire_money_8_hl","...і це багато готівки VIII"
"ch_aquire_money_9","Отримайте $800,000,000 готівкою."
"ch_aquire_money_9_hl","...і це багато готівки IX"
"ch_arrested_hl","Гаразд, ти мене!"
"ch_arrested_single","Потрапте під арешт."
"ch_bank_no_bleedouts","Завершіть пограбування ""Перший Світовий Банк"" на важкому рівні складності, без стану кровотечі."
"ch_bank_no_bleedouts_hl","Перший Світовий Банк: Куленепробивний"
"ch_bank_no_civilians","Завершіть пограбування ""Перший Світовий Банк"" на важкому рівні складності, без вбивства цивільних."
"ch_bank_no_civilians_hl","""Перший Світовий банк"": Чисте вбивство"
"ch_bank_no_deaths","Пройдіть ""Перший Світовий банк"" на складності ""Важко"" не потрапляючи під арешт."
"ch_bank_no_deaths_hl","""Перший Світовий банк"": Як професіонал"
"ch_bank_on_overkill","Пройдіть ""Перший Світовий банк"" на складності OVERKILL."
"ch_bank_on_overkill_145","Пройдіть FIRST WORLD BANK на складності OVERKILL 145+. Щоб виконати це завдання, потрібно пройти пограбування з початку."
"ch_bank_on_overkill_145_hl","Довіряй банку"
"ch_bank_on_overkill_hl","""Перший Світовий банк"": OVERKILL"
"ch_bank_overkill_no_trade","Пройдіть ""Перший Світовий банк"" на складності OVERKILL не допускаючи обміну заручниками."
"ch_bank_overkill_no_trade_hl","""Перший Світовий банк"": Не втрачай обличчя"
"ch_beretta92_head_shots","Використовуючи B9-S, переможіть ##beretta92_law_head_shot## правоохоронців влучним пострілом в голову. Використання ближнього бою не зараховується до цього виклику!"
"ch_beretta92_head_shots_1_hl","Експерт B9-S I"
"ch_beretta92_head_shots_2_hl","Експерт B9-S II"
"ch_beretta92_head_shots_3_hl","Експерт B9-S III"
"ch_beretta92_head_shots_4_hl","Експерт B9-S IV"
"ch_beretta92_taser_kill","Використовуючи B9-S, переможіть ##beretta92_taser_kill## електрошокеров. Використання ближнього бою не зараховується до цього виклику!"
