"c262f1ba12076b59","Вам потрібна USB-флешка"
"debug_ak47","Автомат АК"
"debug_ak47_short","АК"
"debug_ammo_bag","Набір з набоями"
"debug_button_a","$BTN_A;"
"debug_button_b","$BTN_B;"
"debug_button_upgrade_alt4","[4]"
"debug_button_upgrade_alt4_PS3","$BTN_X;"
"debug_button_x","$BTN_X;"
"debug_button_y","[G]"
"debug_button_y_PS3","$BTN_USE_ITEM;"
"debug_buttons","Кнопки: $BTN_A; $BTN_B; $BTN_X; $BTN_Y; $BTN_STICK_R;"
"debug_c4_diffusible","Утримуйте $BTN_INTERACT; щоб знешкодити C4"
"debug_chat_say","Чат:"
"debug_copy_weapon_customize","Копіювати до буферу обміну"
"debug_corrupt_save","[Пошкоджено файл збереження]"
"debug_damage_multiplier","Множник шкоди"
"debug_debug_font_draw_text","@ £ $ () % ^ < } ´ W$BTN_INV_NEW;W$BTN_GHOST;W$BTN_SKULL;W $NL;_the $BTN_BACK;quick $BTN_START;brown $BTN_A;fox $BTN_TOP_L;jumps $BTN_BOTTOM_L;over $BTN_STICK_L;the $BTN_INTERACT;lazy $BTN_RELOAD;dog $BTN_GADGET; j g y"
"debug_doctor_bag","Медичний набір"
"debug_equipment_armor_kit","Кейс із бронею"
"debug_equipment_blood_sample","ЗРАЗОК КРОВІ"
"debug_equipment_blood_sample_valid","ДІЙСНИЙ ЗРАЗОК КРОВІ"
"debug_equipment_bodybags_bag","Кейс із мішками для трупів"
"debug_equipment_crowbar","ЛОМ"
"debug_equipment_drill","Бур"
"debug_equipment_ecm_jammer","ЕЗБ глушник"
"debug_equipment_first_aid_kit","Аптечка Першої Допомоги"
"debug_equipment_gas","Бензин"
"debug_equipment_stash_planks","ДОШКИ"
"debug_equipment_stash_server","СЕРВЕР"
"debug_exp_exp","ГОТІВКА:"
"debug_exp_exp_suffix","K"
"debug_exp_level","РЕПУТАЦІЯ"
"debug_exp_level_progression","ПРОГРЕС РЕПУТАЦІЇ:"
"debug_freeflight","Вільний політ"
"debug_give_alot_of_lootdrops","Дати багато випадкових предметів (по 1000 для кожного класу виплат)."
"debug_give_alot_of_money","Дати гроші (10 виконаних завдань кожної зірки)"
"debug_glock","Пістолет Stryk"
"debug_glock_short","STRYK"
"debug_god_mode","Режим Бога"
"debug_heist_failed","ПОГРАБУВАННЯ ПРОВАЛЕНО!"
"debug_heist_successful","ВДАЛЕ ПОГРАБУВАННЯ!"
"debug_instruct_finish_arrest","Натисніть $BTN_INTERACT;, щоб встати"
"debug_instruct_finish_arrest_PS3","Натисніть $BTN_INTERACT;, щоб піднятися"
"debug_instruct_mask_on","Натисніть $BTN_INTERACT; для початку пограбування"
"debug_instruct_mask_on_PS3","Натисніть $BTN_INTERACT;, щоб почати пограбування"
"debug_int_trai_equipment_sheriff_star","Тобі потрібна Зірка Шерифа"
"debug_interact_ammo_bag_take_ammo","Утримуйте $BTN_INTERACT;, щоб взяти боєприпаси"
"debug_interact_ammo_bag_take_ammo_PS3","Утримуйте $BTN_INTERACT;, щоб взяти боєприпаси"
"debug_interact_apartment_helicopter","Утримуйте $BTN_INTERACT;, щоб прикріпити Магніт"
"debug_interact_apartment_helicopter_PS3","Утримуйте $BTN_INTERACT;, щоб прикріпити Магніт"
"debug_interact_apartment_key","Натисніть $BTN_INTERACT;, щоб відчинити"
"debug_interact_apartment_key_PS3","Натисніть $BTN_INTERACT;, щоб відчинити"
"debug_interact_being_freed","Вас рятують"
"debug_interact_being_revived","Вам допомагають піднятися"
"debug_interact_bodybags_bag_take_bodybag","УТРИМУЙТЕ $BTN_INTERACT;, ЩОБ ВЗЯТИ МІШОК ДЛЯ ТРУПІВ"
"debug_interact_c4","Утримуйте $BTN_INTERACT;, щоб розмістити вибухівку"
"debug_interact_c4_PS3","Утримуйте $BTN_INTERACT;, щоб розмістити вибухівку"
"debug_interact_c4_bag","Утримуйте $BTN_INTERACT;, щоб забрати вибухівку"
"debug_interact_c4_bag_PS3","Утримуйте $BTN_INTERACT;, щоб забрати вибухівку"
"debug_interact_circuit_breaker","Натисніть $BTN_INTERACT;, щоб увімкнути живлення"
"debug_interact_computer_test","Натисніть $BTN_INTERACT;, щоб скопіювати файли"
"debug_interact_computer_test_PS3","Натисніть $BTN_INTERACT;, щоб Скопіювати файли"
"debug_interact_copy_machine","Натисніть $BTN_INTERACT, щоб відкрити Машину для копіювання"
"debug_interact_copy_machine_PS3","Натисніть $BTN_INTERACT, щоб відкрити Машину для копіювання"
"debug_interact_crowbar","Утримуйте $BTN_INTERACT;, щоб зламати двері"
"debug_interact_crowbar2","Утримуйте $BTN_INTERACT; щоб зламати багажник."
"debug_interact_crowbar_breach","Утримуйте $BTN_INTERACT;, щоб зламати."
"debug_interact_cutter_jammed","Утримуйте $BTN_INTERACT;, щоб перезапустити різак"
"debug_interact_cutter_jammed_PS3","Утримуйте $BTN_INTERACT;, щоб перезапустити різак"
"debug_interact_diamond","Натисніть $BTN_INTERACT;, щоб взяти діамант"
"debug_interact_diamond_PS3","Натисніть $BTN_INTERACT;, щоб взяти діамант"
"debug_interact_diamond_case","Натисніть $BTN_INTERACT;, щоб відкрити"
"debug_interact_diamond_case_PS3","Натисніть $BTN_INTERACT;, щоб відкрити"
"debug_interact_doctor_bag_heal","Утримуйте $BTN_INTERACT; для само перев'язки"
"debug_interact_doctor_bag_heal_PS3","Утримуйте $BTN_INTERACT; для само перев'язки"
"debug_interact_drill","Утримуйте $BTN_INTERACT;, щоб розмістити бур"
"debug_interact_drill_PS3","Утримуйте $BTN_INTERACT;, щоб розмістити бур"
"debug_interact_drill_jammed","Утримуйте $BTN_INTERACT;, щоб перезапустити бур"
"debug_interact_drill_jammed_PS3","Утримуйте $BTN_INTERACT;, щоб перезапустити бур"
"debug_interact_elevator_door","Натисніть $BTN_INTERACT; щоб забрати ліфт"
"debug_interact_elevator_door_roof","Натисніть $BTN_INTERACT; щоб запустити ліфт"
"debug_interact_embassy_door","Утримуйте $BTN_INTERACT;, щоб Відкрити Двері"
"debug_interact_embassy_door_PS3","Утримуйте $BTN_INTERACT;, щоб відкрити двері"
"debug_interact_equipment_blood_sample_verified","у вас має бути вірний зразок крові"
"debug_interact_equipment_c4","Необхідно мати C4"
"debug_interact_equipment_cable_tie","У ВАС ЗАКІНЧИЛИСЯ СТЯЖКИ"
"debug_interact_equipment_crowbar","У вас має бути лом"
"debug_interact_equipment_drill","Використовуйте бур, щоб дістатися до Сховища"
"debug_interact_equipment_gas","Вам потрібен Бензин"
"debug_interact_equipment_glass_cutter","Використовуйте різак, щоб прорізати скло"
"debug_interact_equipment_gold","У вас має бути золото!"
"debug_interact_equipment_key","Візьміть ключ банківського менеджера, щоб дістатися до бура."
"debug_interact_equipment_money_bag","Хтось інший має взяти ці гроші"
"debug_interact_equipment_requires_cable_ties","У ВАС ЗАКІНЧИЛИСЯ СТЯЖКИ"
"debug_interact_equipment_requires_gold_bag","У вас має бути золото"
"debug_interact_equipment_saw","Візьміть пилу"
"debug_interact_equipment_silver_ingot","У вас має бути срібний злиток"
"debug_interact_equipment_stash_planks","У вас мають бути дошки"
"debug_interact_equipment_stash_server","У вас має бути сервер"
"debug_interact_equipment_thermite","У вас має бути Терміт!"
"debug_interact_equiptment_apartment_key","Візьміть ключ у Чавеза"
"debug_interact_equiptment_sample_validation","Принесіть зразок крові"
"debug_interact_free","Утримуйте $BTN_INTERACT;, щоб врятувати напарника"
"debug_interact_free_PS3","Утримуйте $BTN_INTERACT;, щоб Врятувати вашого напарника"
"debug_interact_gage_assignment_take","Утримуйте $BTN_INTERACT;, щоб підібрати пакунок"
"debug_interact_gas","Натисніть $BTN_INTERACT;, щоб розлити бензин"
"debug_interact_gas_PS3","Натисніть $BTN_INTERACT;, щоб розлити бензин"
"debug_interact_gen_pku_loot_take","Натисніть $BTN_INTERACT; щоб забрати здобич"
"debug_interact_glass_cutter","Утримуйте $BTN_INTERACT;, щоб розмістити різак."
"debug_interact_gold_bag","Тримайте $BTN_INTERACT;, щоб підійняти сумку"
"debug_interact_gold_bag_PS3","Утримуйте $BTN_INTERACT;, щоб забрати сумку"
"debug_interact_gold_pile_take_money","Утримуйте $BTN_INTERACT;, щоб взяти золото"
"debug_interact_gold_pile_take_money_PS3","Утримуйте $BTN_INTERACT;, щоб взяти золото"
"debug_interact_grenade_crate_take_grenades","Утримуйте $BTN_INTERACT;, щоб взяти метальну зброю"
"debug_interact_hack_ipad","Утримуйте $BTN_INTERACT;, щоб встановити девайс"
"debug_interact_hack_ipad_PS3","Утримуйте $BTN_INTERACT;, щоб встановити девайс"
"debug_interact_hack_ipad_jammed","Утримуйте $BTN_INTERACT;, щоб перезапустити"
"debug_interact_hack_ipad_jammed_PS3","Утримуйте $BTN_INTERACT;, щоб перезапустити"
"debug_interact_hold_to_breach","Утримуйте $BTN_INTERACT;, щоб зламати."
"debug_interact_hospital_phone","Натисніть $BTN_INTERACT;, щоб відповісти на телефон."
"debug_interact_hospital_saw_teddy","Утримуйте $BTN_INTERACT;, щоб взяти пилу"
"debug_interact_hospital_security_cable","Утримуйте $BTN_INTERACT;, щоб перерізати кабель"
"debug_interact_hospital_sentry","утримуйте $BTN_INTERACT; щоб встановити турель"
"debug_interact_hospital_veil_container","Тримайте $BTN_INTERACT; щоб покласти Флакон"
"debug_interact_hostage_move","Утримуйте $BTN_INTERACT;, щоб вести заручника."
"debug_interact_hostage_stay","Утримуйте $BTN_INTERACT;, щоб посадити заручника"
"debug_interact_interaction_ball","Утримуйте $BTN_INTERACT;, щоб витягнути шланг"
"debug_interact_intimidate","Утримуйте $BTN_INTERACT;, щоб зв'язати"
"debug_interact_intimidate_PS3","Утримуйте $BTN_INTERACT;, щоб зв'язати"
"debug_interact_key","Натисніть $BTN_INTERACT;, щоб використати ключ-картку"
"debug_interact_key_PS3","Натисніть $BTN_INTERACT;, щоб використати ключ-картку"
"debug_interact_laptop_objective","Утримуйте $BTN_INTERACT;, щоб знищити записи з камер"
"debug_interact_laptop_objective_PS3","Утримуйте $BTN_INTERACT;, щоб знищити записи з камер"
"debug_interact_long_pour_gas","Утримуйте $BTN_INTERACT;, щоб розлити бензин"
"debug_interact_money_bag","Натисніть $BTN_INTERACT;, щоб покласти мішок з грошима"
"debug_interact_money_bag_PS3","Натисніть $BTN_INTERACT;, щоб покласти мішок з грошима"
"debug_interact_money_printed_take_money","Утримуйте $BTN_INTERACT; щоб взяти гроші"
"debug_interact_money_wrap_single_bundle_take_money","Натисніть $BTN_INTERACT;, щоб взяти гроші"
"debug_interact_money_wrap_single_bundle_take_money_PS3","Натисніть $BTN_INTERACT;, щоб взяти гроші"
"debug_interact_money_wrap_take_money","Утримуйте $BTN_INTERACT;, щоб наповнити сумку грошима"
"debug_interact_money_wrap_take_money_PS3","Утримуйте $BTN_INTERACT;, щоб наповнити сумку грошима"
"debug_interact_move_bookshelf","Утримуйте $BTN_INTERACT;, щоб посунути полицю"
"debug_interact_numpad","Натисніть $BTN_INTERACT;, щоб ввести код"
"debug_interact_numpad_PS3","Натисніть $BTN_INTERACT;, щоб ввести код"
"debug_interact_open_door","Утримуйте $BTN_INTERACT;, щоб відкрити двері"
"debug_interact_open_door_PS3","Натисніть $BTN_INTERACT;, щоб Відкрити Двері"
"debug_interact_open_trunk","Утримуйте $BTN_INTERACT; щоб відкрити багажник."
"debug_interact_patient_paper","Утримуйте $BTN_INTERACT; ЩОБ ПЕРЕВІРИТИ ФАЙЛ"
"debug_interact_press_open_trunk","Натисніть $BTN_INTERACT; щоб відкрити багажник."
