"--164552ea90517a40","Повстання"
"--2185412e6c5e4d08","Блейн Кіган десятиліттями був головним гравцем у техаському підсвіті. Після початку як грабіжник автомобілів низького рівня, він застосував свою підприємницьку геніальність, щоб побудувати державне контрабандне кільце, що стоїть неперевершеним донині. Нещодавно він заснував Keegan Oil для проведення більш законних ділових можливостей. Бережливо та підраховуючи, Кіган знає, коли грати добре та коли грати по брудному."
"--310df33003cb9c72","БЛЕЙН КІГАН"
"--33d3bd017d9fc35e","Повстання"
"--4866a8eb5473c1a6","ВОРОЖЕ ЗАХОПЛЕННЯ"
"--4c219b5bd5dc7d69","ВОРОЖЕ ЗАХОПЛЕННЯ"
"--8cdabc47c3421a3a","Ця справа небезпечна, але коли ми починаємо щось, то бачимо її наскрізь.$NL;Як тільки ми отримаємо доступ до постачання нафти, ми переправимо її на наш танкер. Потім, щоб підірвати бурову платформу, ми створимо неполадку за допомогою основного буру, але нам потрібна ключ-карт Ґабрієля, щоб дістатися керування тиском. Цей колишній найманець знає, що ми ті, хто прибив його брата, тому будьте готові прибрати його.$NL;Остання річ: Ви повинні вкрасти сховану готівку Рейна, або спалити її. Те саме стосовно Кіґана. Тепер, ходімо в лучах слави!"
"a264d02d86348547","Аліса Рейні захопила головну нафтову платформу SERA, щоб використовувати її як важіль тиску на компанію і приховати гроші від федеральних агентів. Якщо ви зможете вкрасти трохи нафти і потім знищити платформу, Рейні буде розгромлена. Це буде непросто. Це місце – справжня фортеця, і шоу тут керує брат Естебана, Габріель Сантьяго. Але якщо вам це вдасться, ви станете легендами Техасу!$NL;$NL;»Вкрасти найчистішу нафту$NL;»Ліквідувати Габріеля Сантьяго$NL;»Знищити нафтову платформу"
"american_desc_codex","Ґ'юстон ніколи не міг утримати роботу, навіть якби від цього залежало його життя. Його спосіб життя перетворив його на життя шахрая і грабіжника. Він здійснив свій перший великий злочин у віці 24 років, і ставки тільки зростали з того часу."
"b2c0f3a37c17e4e7","Друг Ґемми - наш друг, особливо якщо він готовий нам заплатити!$NL;SERA має свій головний офіс і дослідницький центр у Далласі. Саме там вони планують представити прототип Neo-2 сьогодні ввечері. Ми отримаємо компромат на Рейні, викрадемо Neo-2 і знищимо все, що SERA могла б використати для його відтворення.$NL;Найясніший маршрут - спочатку атакувати офісну будівлю, а потім лабораторію, але ви можете виконувати завдання в будь-якому порядку."
"cf59da94f4a14070","Моя працівниця пані МакШей каже, що ви можете вирішити мою проблему. Я намагаюся увійти в гру нафтового бізнесу, але мені заважає Аліса Рейні - генеральний директор SERA Inc. Естебан Сантьяго був на її зарплаті. SERA розробляє прототип технології поглинання CO2. Я хочу його, і всі докази того, що SERA його винайшла. Я також заплачу за будь-який компромат на Рейні.$NL;$NL;»Знайти компромат на Алісу Рейні$NL;»Викрасти прототип Neo-2$NL;»Розгромити дослідницьку лабораторію SERA"
"chill_combat_desc","Ваша Конспоративна квартира знаходить під атакою! Захистіть її!"
"chill_combat_header","Рейд на криївку"
"chill_combat_rewards","Нагороди"
