"--110b236af7284480","Натисніть $BTN_INTERACT щоб проаналізувати зразок нафти"
"--1226059b3c479470","Викрадіть Нео-2"
"--13a1e474730817c8","Вітрина під замком. Зламайте захисні жалюзі пилкою."
"--1540d4a07db54bb7","Поверніться до місця розташування прототипу вуглецевого уловлювача."
"--15d03b8c9189ce32","Крадіжка дослідницьких документів"
"--169e70d606bc88e3","Відбір зразків нафти"
"--16e4b74fb4a5d28f","Шукайте в офісах електронні листи або голосові повідомлення, які можуть бути використані для шантажу Еліс Рейні. Також ходять чутки, що у неї в особистому кабінеті є таємний диктофон."
"--170fd559bc85c900","Подайте сигнал вертольоту"
"--18f27ad4fcc79004","Натисніть $BTN_INTERACT;, щоб забрати костюм"
"--193d6e9a27b7ffdc","Вирушай на вертолітний майданчик"
"--1a33d68bc1be353b","Захистіть генератор насосу"
"--1c14b73dfce407db","Локк має обійти мережу безпеки, перш ніж ми зможемо змінити графік передачі. Щоб відкрити серверну, потрібна ключ-карта. Вона має бути в одного зі співробітників SERA."
"--1e193fa04a2d1af2","Рухома драбина"
"--1f912808ce005c20","Знищіть сервер"
"--2005c0443019d25f","Натисніть $BTN_INTERACT;, щоб скасувати взаємодію (викличе тривогу)"
"--2031a70dcb729a92","Набої АП"
"--2053cf256fa87179","Відчиняються двері"
"--2084eb53e7966f02","Утримуйте $BTN_INTERACT;, щоб повернути трубу"
"--2171cb7b144f6a5d","Знайдіть шлях до головного офісного комплексу SERA."
"--2303bb502eb62553","Зупинити запис"
"--23ba88b2632f432f","Сканування мітки доступу"
"--2430d4e78893f6fe","Забити вентиляційну систему"
"--24511da1c421cbf8","Використання ноутбука"
"--25bc0cab3ca013c8","Щоб створити потрібний тиск, поверніть клапани навколо бурової вишки, як їх називає Локк."
"--2713e8a49f10e54b","Дочекайтеся на перекачування нафти"
"--27603d638e305485","Знайдіть шлях до підпільних дослідницьких кабінетів."
"--27ee394058cfc482","Ліквідувати Габріеля Сантьяго"
"--28877e1cf588314a","Доступна втеча"
"--28ecba986d6ce003","Вибухові патрони"
"--2b9a254e22417dae","Викрадення дослідницьких документів"
"--2cdd3107f24cbcd7","Зразок нафти"
"--2d8a7ed5694ef055","Висувна шухляда"
"--2ed29b5098e1d3f3","Потрібен ноутбук"
