"--128764cadb1a8362","Для отримання цього досягнення необхідно спочатку отримати досягнення «Texas Treasures»."
"--145a28f3652c91df","Шокований Системою"
"--18c7e3ad8fca9e0c","Заміщення продукту"
"--19b84a0800a84505","Виконайте завдання «Вороже поглинання» на складності «Вирок смерті» з активованим механіком «Один із нас»."
"--1f29c80901af0198","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--21d8ab862af218a5","Людина-факел"
"--23362f43c9f89de7","Вбийте 45 російських спеців у завданні «Точка кипіння» з допомогою кулемета Джекала на складності «OVERKILL» або вище."
"--2b6f169bc22a1f6e","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--2cdce917d7914110","Виконайте завдання «Винуватець» на складності «OVERKILL» або вище зі своєю командою, використовуючи лише пістолет Контрактника."
"--2d754065e6e117db","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--33b1918a8caaf76a","Опівнічна олива"
"--36d97a42ee01b148","Техаські скарби, частина 3"
"--3ab1bed4cf082a67","Виконайте завдання «Вороже поглинання» на складності «Важко» або вище."
"--4266ef69d54da279","У завданні «Вороже поглинання» використайте гольф-кари, щоб розбити всі покажчики на шосе у числовому порядку менш ніж за 1 хвилину."
"--42cb96738b5e9bd8","У вас є шантаж"
"--43c174afd7178525","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--44716111c310a5a4","Відкриває «Техаські скарби» костюм та маску «Меморіал Мідланда»."
"--4b2ed70cabe96b79","У завданні «Сире пробудження» викиньте всі гроші Аліси Рейне у океан і потім підберіть їх на човні."
"--4e359948a29dc26b","Жодна риба не постраждала під час цього пограбування"
"--4e61757ce55617b5","Ліквідація готівки"
"--52c95fe10bcf6979","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--54da589ea68e9137","На чорний день"
"--58df87f9ca0fce5f","Виконайте завдання «Сире пробудження» на складності «Вирок смерті» з активним механіком «Один із нас»."
"--58f0975ab72abfae","Чайки не справжні"
"--5a2bd7bb3bb16a24","У завданні «Сире пробудження» знайдіть і приберіть всіх чайок, не піднявши тривоги."
"--5c8aa795562bd4e1","Виконайте завдання «Вороже поглинання» на складності «Нормально» або вище."
"--5cadad23eaa758b1","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--621c928ac45000d6","Виконайте завдання «Сире пробудження» на складності «Маємі» або вище."
"--6622b6eb64c784b8","Знайдіть і прослухайте всі чотири загублені записи."
"--66efc7d995a0b753","У вогні"
"--688fc57d9e6008db","Техаська спека"
"--75fa4d137529e6c8","Вбийте 30 снайперів із снайперської гвинтівки Desertfox на складності «OVERKILL» або вище."
"--77b6df89849523e3","Цей здобуток вимагає від вас грати від лобі до кінця пограбування. Ви можете активувати механік «Один із нас» на екрані «Купити контракт»."
"--77fd18d6d61d780","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--77ffb034a5ebe749","Правильні речі"
"--7c82289c9ba7768c","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--7d474e8a48f35a30","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--7e94ed1d5d5a22e3","Просто проходжу мимо"
"--805ef32e760c5430","Таймер починається після знищення першого знаку."
"--82fede923706ea36","Виконайте завдання «Сире пробудження» на складності «OVERKILL» або вище."
"--8ae19994fe87dc20","Картинговий PAYDAY 64"
"--8ec4908a5a4a34bf","У завданні «Сире пробудження» знайдіть найчистіший зразок правильної партії нафти за першої спроби."
"--983532b86f61a98b","Виконайте завдання «Вороже поглинання» на складності «Маємі» або вище."
"--98ed08e71410171a","Теорія змови"
"--9926098db8baaaca","Відкриває маску «Реквієм Ґабріеля»."
"--9a0dfdd2542e2772","Цей здобуток вимагає від вас грати від лобі до кінця пограбування."
"--9aae041fecda779a","Виконайте завдання «Вороже поглинання» на складності «Смертельна воля» або вище."
"--9ce921721349cf01","Виконайте завдання «Вороже поглинання» на складності «Дуже важко» або вище."
"--9eb4c625476c96c4","Виконайте завдання «Сире пробудження» на складності «Вирок смерті»."
"a69a09439138e4b9","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"a89d8d1088177c2b","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"ac23d7a538d27875","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"achievement_ameno_1","Пила OVE 72000"
"achievement_ameno_1_additional","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"achievement_ameno_1_desc","У завданні «Нічний клуб» виконайте пограбування на будь-якій складності з кожним учасником команди, використовуючи пилу OVE 9000 як основну та додаткову зброю."
"achievement_ameno_1_unlock","Відкриває «Верхній приймач THRUST», «Нижній приймач THRUST» та «Довгий ергономічний передній хват» для сімейства зброї CAR."
"achievement_ameno_2","Гей, містере Діджей"
"achievement_ameno_2_desc","У завданні «Нічний клуб» утримуйте 12 або більше заручників на танцполі під час втечі."
"achievement_ameno_2_unlock","Відкриває «Алюмінієвий хват» для сімейства зброї AK, «Алюмінієвий передній хват» для Krinkov та «LW Верхній приймач» для сімейства зброї CAR."
"achievement_ameno_3","$1.8M Спринт"
"achievement_ameno_3_additional","Це досягнення можна виконати лише на складності OVERKILL."
"achievement_ameno_3_desc","У завданні «Пограбування магазинів» викрадіть $1,800,000 готівкою протягом 50 секунд після початку пограбування. Пограбування має бути виконане на складності OVERKILL."
"achievement_ameno_3_unlock","Відкриває «Кріплення для прицілу» та «PBS Глушник» для сімейства зброї AK, маску «Альфред», матеріал «Світанок» та візерунок «Динозавровий череп»."
"achievement_ameno_4","Ось і потяг болю"
"achievement_ameno_4_additional","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"achievement_ameno_4_desc","У завданні «Винуватець» виконайте пограбування на складності «OVERKILL» або вище, з усіма днями, виконаними голосно, та командою з 4 гравців, що використовують немодифіковані гвинтівки «AK Rifle» та пістолети-кулемети «PARA»."
"achievement_ameno_4_unlock","Відкриває «DMR Kit AK.762» та «Low Drag Magazine» для сімейства зброї AK, маску «Тімоті», матеріал «Доісторичний» та візерунок «Динозаврові смуги»."
"achievement_ameno_5","Вовк заманює вас у могилу"
"achievement_ameno_5_desc","У завданні «Художня галерея» вбийте двох охоронців, що патрулюють, тихо у ванній."
"achievement_ameno_5_unlock","Відкриває «E.M.O. Передній хват» та «OVAL Передній хват» для сімейства зброї CAR, та «Aftermarket Shorty» для пістолет-кулемета PARA."
"achievement_ameno_6","Черепаха завжди виграє"
"achievement_ameno_6_additional","Це досягнення вимагає, щоб ви грали від лобі до кінця пограбування."
"achievement_ameno_6_desc","У завданні «Художня галерея» виконайте пограбування тихо протягом 4 хвилин з кожним учасником команди, що носить Вдосконалену тактичну жилет, та без розгортання Армійського мішка."
"achievement_ameno_6_unlock","Відкриває «Классичний приклад» для сімейства зброї AK, «2-Частинний приклад» для сімейств зброї AK та CAR, маску «Пахі», матеріал «Скам'янілість» та візерунок «Доісторичний хижак»."
"achievement_ameno_7","Приватна вечірка"
"achievement_ameno_7_desc","У завданні «Ювелірний магазин» не дозволяйте поліції увійти до магазину, поки фургон не повернеться, на складності OVERKILL або вище."
"achievement_ameno_7_unlock","Відкриває «DMR Kit AMR-16» та «L5 Magazine» для сімейства зброї CAR, маску «Вінсент», матеріал «Перо» та візерунок «Динозаврові шрами»."
"achievement_ameno_8","Колекціонер"
"achievement_ameno_8_desc","Вбийте 100 поліцейських, використовуючи лише зброю з сімейств AK або CAR."
"achievement_ameno_8_unlock","Відкриває «Keymod Rail», «Crabs Rail» та «Modern Barrel» для сімейства зброї AK."
"achievement_armed_and_dangerous","Озброєний та небезпечний"
"achievement_armed_and_dangerous_desc","Досягніть 50-го рівня репутації."
"achievement_armed_to_the_teeth","Хочете чек?"
"achievement_armed_to_the_teeth_desc","Придбайте зброю вперше."
"achievement_armored_1","Ми будемо потрібен більший човен"
"achievement_armored_10","Доступне охороне здоров'я"
"achievement_armored_10_additional","Цей здобуток вимагає наявності DLC «Броньована Транспорт»."
"achievement_armored_10_desc","Розмістіть 61 аптечку, носячи маску «44-й»."
"achievement_armored_11","Спекулянт"
"achievement_armored_11_additional","Створіть обліковий запис Starbreeze Nebula у меню налаштувань, щоб отримати доступ до маски «Хокейна Спека»."
"achievement_armored_11_desc","Одягніть маску «Хокейна Спека»."
"achievement_armored_1_desc","У завданні «Транспорт: Пограбування потяга» викрадіть та збережіть 20 мішків боєприпасів."
"achievement_armored_2","Але чекайте - є ще!"
"achievement_armored_2_desc","У будь-якому завданні «Броньована Транспорт» знайдіть плани для завдання «Пограбування потяга»."
"achievement_armored_3","Якщо вам сподобалося, ви маєте покласти каблучку на палець"
"achievement_armored_3_desc","Виконайте будь-яке завдання «Броньована Транспорт», зберігши щонайменше 9 мішків золота."
