"--101eced83d19b81f","Захід"
"--12946e2884444e5b","Рівень С"
"--129f726e7e83044a","Прибуття човна"
"--12bb755b0ada1857","Отримані бафи"
"--1317096a2cc82585","Затока Свиней"
"--1537556b9bea3068","Увійдіть на територію кампусу SERA через головні ворота."
"--15474443069e6cf5","SHARKE: Do you have any idea what time it is, Fallere?$NL;FALLERE: I know, I'm sorry. I wouldn't have bothered you if it wasn't...Um...But how are you? How's the bank?$NL;SHARKE: ''How's the bank?'' Jesus, is this you trying to do small talk?$NL;FALLERE: I was just, you know, we haven't talked in a while. Just catching up.$NL;SHARKE: You're stalling. Say what you have to say.$NL;FALLERE: You asked me to keep you ahead of the curb on any big developments.$NL;SHARKE: Uh-huh.$NL;FALLERE: Well...There's going to be some bad news at the GenSec shareholders meeting tomorrow.$NL;SHARKE: How bad?$NL;FALLERE: We're pulling out of the D.C. market.$NL;SHARKE: What?!$NL;FALLERE: Most of our clients are terminating their contracts. Even Metro PD's pulling out. We've lost our foothold.$NL;SHARKE: Garrett's dropping us?! That's...That can't...How did this happen?!$NL;FALLERE: It's the crime wave. The clients have lost faith in GenSec's abilities.$NL;SHARKE: But that doesn't make sense! A crime wave should increase the demand for security!$NL;FALLERE: Not when it's right under our nose. GenSec completely saturated the D.C region. We're every camera, every truck, every access card. The clients that got hit are looking for someone to blame, and we're an easy target. Our security failed.$NL;SHARKE: Bullshit! GenSec is top of the line!$NL;FALLERE: It doesn't matter. Robberies in D.C. are at an all time high—$NL;SHARKE: Those stats are fucked, and they know it! This isn't some ambiguous crime wave. This is the fault of one group! One! That fucking Payday Gang!$NL;FALLERE: You're not wrong.$NL;SHARKE: We've been fighting a PR nightmare ever since they hit GenSec Arena.$NL;FALLERE: That DJ tweeted some nasty memes about our vault...$NL;SHARKE: The DJ can go fuck himself!$NL;FALLERE: And the day they hit all our Armored Transports at once...Devastating.$NL;SHARKE: The Payday Gang is an anomaly. Each heist is a one-in-a-million scenario, you have to make the clients see that.$NL;FALLERE: There've been a million one-in-a-millions. The damage is done. D.C. is dropping us, and the GenSec stocks are going to take a hit. A very, very big hit.$NL;FALLERE: Ms. Sharke? Are you still there?$NL;SHARKE:...Someone's going to fucking pay for this.$NL;"
"--18066a17fe8f82c0","Add Favorite"
"--188f13b12a1539e2","Створіть обліковий запис Starbreeze Nebula або приєднайтеся до спільноти PAYDAY 2 в Steam, щоб отримати перераховані вище предмети."
"--1895858e14def291","Вбиральня на 1-му поверсі"
"--198219a78ae555eb","Кремінний мушкет Фредді та маска Kintsugi Crew"
"--1a05f687f62588b5","Ваш код було приховано"
"--1aa1440afb8f19ae","Сховане обладнання"
