"--101d67379d0e13a4","Якщо нам потрібен ключ-код від вітрини Neo-2, ми повинні звернутися до керівника відділу маркетингу. Вона відповідає за весь цей захід."
"--11220909656ad3ba","Це не так вже й складно, відбивні! Ще раз..."
"--117fabc29ab6597a","Час тікати, друзі! Ми отримали те, за чим прийшли!"
"--11c208768675312f","Ви все ще в зоні вибуху! Біжіть до цистерни!"
"--1210f0fdef03c08a","Один з робітників тут працює на Кігана. Він залишив інструмент, який допоможе нам заблокувати вентилятор в кімнаті Габріеля. Знайди його зараз же."
"--1274b8e6a3a23ec1","Гляньте сюди! Рейні змусила свого бухгалтера провести брудні гроші через бухгалтерію SERA. Було б прикро, якби цей лист потрапив до акціонерів. Дуже шкода."
"--128f9c68d9393ef0","Ого! Це страшний шрам від кулі, чувак. Де тебе підстрелили?"
"--12f384b546470257","Зачекайте... Якого біса?! Позаштатна команда охорони вже на шляху до парковки! Мабуть, це додаткова пересторога для заходу. Ми не можемо дозволити цим відбивним знайти докази твоєї роботи, інакше вони піднімуть тривогу! "
"--133ce0794ee1d216","Тепер знаєш."
"--138b6a856c0fec3b","Ми знаємо, яку нафту вкрасти. Перекинь шланг до нашого танкера."
"--13bf9c04019682fd","До біса поїзд! Ці клоуни з нижчої ліги! І ось що я вам скажу: їхній час добігає кінця."
"--13c683d031cb5852","Закрийте L2!"
"--13daed3615a0bd60","Сьогодні ввечері SERA планувала представити свій прототип уловлювача вуглецю. Він все ще має бути в залі для заходів."
"--13e5fbb9fb4f37cb","А ти впевнений, що Ґабріель знає, що це ми напали на ранчо Мідленд?"
"--140934bdbf473fa5","Ми можемо отримати доступ до бурової установки з аварійного доку!"
"--1418134c911201fa","Кімната екстракції - найкраще місце для збору зразків нафти."
"--14975061a1310cd0","Перевірте комп'ютери, голосову пошту, столи. Будьте ретельні."
"--1507a086e83b5ef0","Вони вимкнули передачу! Перевір важіль на масляному баку!"
"--151b69b6b995a480","Нафта в безпеці! Тепер ми можемо підірвати цю вишку до біса! На бурову вишку!"
"--15482109549fdf62","Час перевести подих Габріеля. Приєднайте каністру до вентиляційної системи командного пункту."
"--160e657aaa85be40","З цим у вас буде багато головного болю!"
"--16bc0ecf78d5f220","Наскільки все погано?"
"--1750821d2018f698","Отже, Верноне. Джемма казала, що у тебе жахливий техаський акцент. Я б із задоволенням послухав."
"--1770740695095a04","Це був один мільйон на мільйон. Збиток завдано. Вашингтон нас кидає, і акції Генсек"" зазнають удару. Дуже, дуже великий удар."""
"--183e3f1be6f6263e","Ми отримали Neo-2, тепер нам потрібні дані про те, як він працює. Все це повинно зберігатися в Дослідницькому центрі."
"--187af14f28e15520","Нам потрібно, щоб цей сервер був виведений з ладу!"
"--18bf3ef3c21d2830","О-хо, так ось воно що. Та пофіг. Мені начхати."
"--18e81489eb5927ca","Нафта у Кігана! А тепер прямуйте до бурової вишки. Нам треба знищити вишку!"
"--193bc3d203b1773b","Дістанься до серверної кімнати і підключи мене."
"--1949ed7287ad616f","Знайдіть серверну кімнату!"
"--19c519388e88f771","Це схоже на гучномовець для всього кампусу! Може, ми зможемо використати її, щоб очистити лабораторію."
"--1a282377b61e6945","Чорт забирай! Ви всі прийшли, ви всі бачили, і ви всі відтрахали Рейні до усрачки! Повинен сказати, Техас стане до біса менш цікавим, коли ви поїдете. "
"--1ad9807e62b48845","Пилу підмінили!"
"--1b6ce99be34fb1c7","Усе готово. Увімкніть генератор насосів."
"--1b6d82daaaeaed26","План не змінився. Знайдіть шлях до головної офісної будівлі!"
"--1bf328c69fd8e4b0","Вертоліт повертається. Просто протримайтеся ще трохи!"
"--1c29c85c4e9ff532","Чорт забирай! Копи вимкнули пилу! Увімкни її знову!"
"--1cb6f248b43f7da5","Перш ніж ми зможемо зробити щось ще, мені потрібен доступ до центральної мережі бурової установки. Знайди серверну."
"--1d3ac74874c64ce1","У мене є інформація, що Рейні записує всі свої зустрічі. Перевірте адміністрацію, чи це правда."
"--1d6db570073f41e8","Beautiful! This might just be our best work. Heh, best work so far, at least. Masterfully done, friends. Time to go.                              "
"--1debd7aeed2675ce","Лабораторія з іншого боку дослідницького центру. Прямо під тим маленьким ставком."
"--1e1099234c00eaf7","Ви один з найбільших контрабандистів у Техасі. Якщо дозволите, чому саме зараз ви переключилися на нафтову галузь?"
"--1e2c8d75c0315242","Підніміть собі настрій для різноманітності!"
"--1e77b0c97ced750","Ого! Ти справді збираєшся запустити ці поросячі бакси зараз!"
"--1e875bfdc997d149","Чудово! Тепер у нас є доступ до розкладу відправлень. Ми можемо змінювати його з адмін кабінету."
"--1eca084bd5ab2afb","Нафта проривається! Сховайтеся, поки наш корабель робить свою справу."
"--1ecb2de232607563","Тебе збивають з ніг, але ти знову піднімаєшся! Вони ніколи не зможуть тебе перемогти!"
"--1f0ddb64e1579322","Не забудьте обшукати офісні кабінети."
"--1f2d2d0e6ca3acef","Люк."
"--204b2475d42a8712","Треба знайти лабораторію і розгромити її. Кіган не зможе запатентувати Нео-2, якщо СІРА не побудує нову."
"--2070915ae7bd8ec9","Пила втратила потужність!"
"--20c5b5408ad3dfc8","Насос полагодили! Захистіть генератор, поки ми тут закінчимо."
"--215ec046b3911a5d","Гаррет нас кидає?! Це... Це не може... Як це сталося?!"
"--2184be62dafee5ee","Рейні підняв би ціну на цю річ до небес. Краще б світ купив її у мене."
"--221980d1d2b3e452","Або він, або ви, друзі! Прикінчити його!"
"--223833db31fda3d6","Банда Гроші до зарплати"" - це аномалія. Кожне пограбування - це сценарій на мільйон, і ви повинні дати клієнтам це зрозуміти."""
"--225d731091d80b76","Нісенітниця! GenSec - найкращий!"
"--226c9b995a3b51d7","Вкрасти нафту: є! Час вирушати до бурової вишки. Будьте обережні, друзі. Це територія Габріеля."
"--22af97abc684d2d6","А! Перерізавши дроти, ми вимкнемо електричний струм! Блеррі, геніально!"
"--234289a497e6d6a0","Керелі зіпсували важіль на нашому танку!"
"--237f067673b61060","Коли ви почнете буріння, ситуація стане ризикованою. Чим швидше ви повернетеся до човна, тим краще."
"--23a15541c48682df","Що сталося?! Вони щось зробили з важелем масляного бака?"
"--23d4c187b0841f48","Як так?"
"--23df0c439a2c2337","Зробіть L1!"
"--2465215af7f9e4e7","Ви заблукали? Конференц-зал знаходиться на першому поверсі головного офісу."
"--24ad99fc12534330","Гаразд. SERA перенесли свій прототип уловлювача вуглецю в конференц-зал. Давайте подивимось."
