"--12f00d0145597481","Гелловін"
"--2ea01d11a8a82709","Never get into politics.$NL;$NL;The Payday Gang has rocked Washington to its very foundations, and a bugged conversation between two agents hints that a reckoning is just around the corner. $NL;$NL;Head to the Lost Tapes menu and steal this secret recording!"
"--35167927db02cf7b","Gamesight"
"--37d5d0da19d1f30f","Telemetry is completely anonymous and shows us how people play the game, which heists are the most popular, which objectives are too hard or too easy, things like that. This helps us make the game even better.$NL;$NL;Telemetry is optional, and you can disable it at any time in the Advanced options."
"--49559d23ba99741e","Lost Tape: Enemies Of The State"
"--6cc8ac044229f21d","Disable Telemetry"
"--6e16550488fe919c","Lost Tape: Keeping Up With The Garnets"
"--708aa69bf2189cb2","Gamesight"
"--7c224b921088cbc0","Decline and Close Game"
"--81297ba2c08fb8a3","Privacy Policy for Payday 2"
"--845e40442caaf833","Actions have consequences, even for the Payday Gang.$NL;$NL;As GenSec Industries faces a financial crisis, a wiretapped phone call reveals who has the most to lose...and who they'll blame for that loss.$NL;$NL;Head to the Lost Tapes menu and steal this secret recording!"
"--84e133afa4a8bf5f","A decade of PAYDAY 2?! How time flies! It's been a joy heisting with you all for these ten wonderful years, and to celebrate, we're bringing the Piggy Bank back in a big way!$NL;$NL;You'll find the Piggy in any heist on this event's CRIME.NET page. Usually hanging out near the beginning or end of the heist, on rooftops, and any wide-open spaces. Feed it Piggy Bucks to make it grow; you can earn a bag of Piggy Bucks after ten normal kills, five headshot kills, five Cash Blaster kills, or one kill with an Anniversary Weapon.$NL;$NL;The first bag of Piggy Bucks will awaken the Piggy Bank into Stage 1, and you can grow the Piggy all the way up to Stage 5. Whenever the Piggy levels up, it will reward your team with powerful buffs to keep those Piggy Bucks coming. But beware: leveling up will also spawn a terrifying new enemy...The Warthog! This special Dozer is a beast, but he's vulnerable to Anniversary Weapons. Remember that.$NL;$NL;When you've had your fill, break the Piggy Bank and then escape the heist alive.The larger the Piggy grew, the more bonuses you'll receive in cash, XP, loot drops, and Continental Coins. You can also earn more goodies through the 10th Anniversary Side Jobs!$NL;$NL;Now, get out there and make that Piggy proud!"
"--8cf42e9b5ebce968","Behind every threat is a bigger, more dangerous threat.$NL;$NL;Through routine audio surveillance in a D.C. prison, the survivor of an infamous shootout alludes to a mysterious foe targeting the Payday Gang. $NL;$NL;Head to the Lost Tapes menu and steal this secret recording!"
"af3ce5c76f891112","Діаманти вічні, але розум легко зламати.$NL;$NL;Прихований запис проливає світло на чвари між діамантовим магнатом і його сином, а також на те, як злочини Банди Payday довели їх обох до межі божевілля.$NL;$NL;Заходьте в меню Lost Tapes і викрадіть цей таємний запис!"
"cacd98a9e4dda31a","Втрачена платівка: Погано Для Бізнесу"
"d01257ebc5921038","Телеметрія"
"d5ac68f1c2b3487c","Payday 2 10-а Річниця"
"dfaa13f9c9f5013a","Втрачена платівка: Співкамерники"
"dialog_a10th_event_text","Знищення спеціальних підрозділів створює повітряні кулі, які можна підстрелити, щоб дати всій команді бонус, який буде або прямим покращенням, або тимчасовим, залежно від того, який підрозділ знищено. Деякі підрозділи частіше створюють кулі, ніж інші. Одночасно може бути активним кілька бонусів."
"dialog_a10th_event_title","10-й Ювілейний захід"
"dialog_abort_mission_text","Ви впевнені, що хочете завершити поточний контракт?$NL;$NL;Ви та ваша команда будуть повернуті в фазу планування, де можна вибрати новий контракт."
"dialog_abort_weapon_color_customize","Ви впевнені, що бажаєте повернутися без застосування конфігурації?"
"dialog_accept","Прийняти"
"dialog_accept_changes","Ви бажаєте зберегти ці налаштування дисплея? Вони будуть повернуті в $TIME;."
"dialog_accept_changes_title","ПІДТВЕРДИТИ ЗМІНИ?"
"dialog_account_picker","Перемикання профілів може призвести до втрати незбереженого прогресу. Бажаєте продовжити?"
"dialog_age_restriction","Онлайн-сервіс відключено на вашому обліковому записі Sony Entertainment Network через обмеження батьківського контролю."
