"bm_loadout_rifle_american","Assault US"
"bm_loadout_rifle_russian","Assault RUS"
"bm_loadout_shotgun","Дробовик"
"bm_loadout_sniper","Снайпер"
"bm_menu_vr_effect_less","$version; Має менший ефект у VR"
"bm_menu_vr_effect_none","$version; не має ефекту у VR."
"bm_menu_vr_locked","Не доступно в VR"
"bm_menu_vr_skill_ace","Версія з перевагою."
"bm_menu_vr_skill_basic","Базова версія"
"bm_menu_vr_skill_both","Навичка"
"bm_menu_vr_skill_perk","Перк"
"dialog_ask_load_vr_beta_progress","Ваше збереження VR бета-версії новіше за останнє збереження в Steam.$NL;$NL;Натисніть ТАК, якщо ви хочете завантажити своє збереження VR бета-версії."
"dialog_heist_locked_text","Це пограбування наразі не доступне в VR "
"dialog_heist_locked_title","Не доступно в VR"
"dialog_vr_calibrate","Відкалібрувати висоту"
"dialog_vr_procedural_animation_text","Процедурна анімація рук тепер доступна в третій особі! Це дозволяє іншим гравцям бачити ваші жести руками. Використовуйте меню з лівого боку, щоб увімкнути та калібрувати систему анімації!"
"dialog_vr_procedural_animation_title","Процедурні анімації рук"
"dialog_vr_settings_text","Перед продовженням вам потрібно калібрувати свою висоту. Станьте прямо і натисніть ""Калібрувати висоту""."
"dialog_vr_settings_title","Необхідні налаштування VR"
"hint_skill_messiah_get_up_vr","Ривок, щоб піднятися!"
"hud_heist_bbv_01","зробити"
"hud_heist_bbv_01_hl","Увійдіть в банк."
"hud_heist_bbv_02","зробити"
"hud_heist_bbv_02_hl","Пробуріться до сховища."
"hud_heist_bbv_03","зробити"
"hud_heist_bbv_03_hl","Обікрасти сховище."
"hud_heist_bbv_04","зробити"
"hud_heist_bbv_04_hl","Захищайте здобич"
"hud_heist_bbv_05","Втеча!"
"hud_heist_bbv_05_hl","Доступна втеча"
"hud_int_hold_action_choose_hand_left","Вибір лівої руки."
"hud_int_hold_action_choose_hand_right","Вибір правої руки."
"hud_int_hold_action_choose_handedness","Вибір руки"
"hud_int_hold_choose_hand_left","Утримуйте $BTN_INTERACT; щоб обрати ліву руку."
"hud_int_hold_choose_hand_right","Утримуйте $BTN_INTERACT; щоб обрати праву руку."
"hud_int_hold_choose_handedness","Утримуйте $BTN_INTERACT; щоб обрати $HAND; руку."
"hud_int_hold_choose_handedness_left","ліво"
"hud_int_hold_choose_handedness_right","право"
"hud_int_press_choose_loadout_rifle_american","Натисніть $BTN_INTERACT; щоб обрати Assault US."
"hud_int_press_choose_loadout_rifle_russian","Натисніть $BTN_INTERACT; щоб обрати Assault RUS."
"hud_int_press_choose_loadout_shotgun","Натисніть $BTN_INTERACT; щоб обрати Дробовик"
"hud_int_press_choose_loadout_sniper","Натисніть $BTN_INTERACT; щоб обрати Снайпера."
"hud_respawn_in","Відродження через."
"hud_score_accuracy","Точність"
"hud_score_bag","Мішок зі здобиччю."
"hud_score_cash","Готівка вкрадена"
"hud_score_downed","Смертей"
"hud_score_downs","Смертей"
"hud_score_hostages_remaining","Цивільні."
"hud_score_kill","Убивств"
"hud_score_kills","Убивств"
"hud_score_small_loot","Готівка."
"hud_vr_controller_ability","Активувати здібності"
"hud_vr_controller_deployable","Використати екіпіровку"
"hud_vr_controller_firemode","Перемикнути режим вогню"
"hud_vr_controller_gadget","Перемикання пристрою"
"hud_vr_controller_throwable","Використати метальну зброю."
"hud_vr_exit","Затискайте, щоб вийти"
"hud_vr_steering","Затискайте, щоб керувати"
"hud_vr_steering_gripping","Рухайте, щоб керувати."
"hud_vr_throttle","Затискайте для водіння."
"hud_vr_throttle_lever","Переміщайтеся для водіння."
"hud_vr_throttle_twist_grip","Поверніть, щоб керувати."
"menu_adaptive_quality","Адаптивна якість."
"menu_adaptive_quality_help","Адаптивно масштабувати якість, щоб не перевищувати рекомендовану частоту кадрів"
"menu_arm_animation","Процедурні анімації рук"
"menu_arm_animation_help","Включити процедурні анімації рук для VR гравців коли доступно."
"menu_toggle_window_zoom","Приближення вікна"
"menu_toggle_window_zoom_help","Вікно виводу відображає зменшене поле зору."
"menu_vr","ВР"
"menu_vr_addon_awareness","ACE: Після ривка ви отримаєте від ##$min;## до максимуму ##$max;## збільшення швидкості перезаряджання."
"menu_vr_addon_close_by","БАЗОВИЙ: Після ривка вбивства гравця мають шанс ##$chance;## налякати ворогів в радіусі ##$distance;## метрів від гравця на від ##$min;## до максимуму ##$max;## секунд, залежно від кількості витраченої витривалості на стрибок."
"menu_vr_addon_fire_control","ACE: Штраф за знижену точність триває від ##$min;## до максимуму ##$max;## секунд після ривка."
"menu_vr_addon_rifleman","БАЗОВИЙ: Кожне вбивство при прицілюванні відновлює ##$stamina_percentage;## витривалості.$NL;Кожні ##$stamina;## витрачені на ривок очки витривалості заповнять ##$ammo;## з їхнього пулу боєприпасів для одноразової зброї.$NL;ACE: Поліпшена точність триває від ##$min;## до максимуму ##$max;## секунд після ривка."
"menu_vr_addon_shock_and_awe","БАЗОВИЙ: Кожні ##$stamina;## витрачені на ривок очки витривалості заповнять ##$ammo;## з їхнього пулу боєприпасів для автоматичної зброї."
"menu_vr_addon_shotgun_cqb","ACE: Кожне вбивство при прицілюванні відновлює ##$stamina;## витривалості."
"menu_vr_addon_silence_expert","БАЗОВИЙ: Кожен вбивство при прицілюванні відновлює ##$stamina;## витривалості."
"menu_vr_addon_sprinter","ACE: Збільшений шанс ухилення триває від ##$min;## до максимуму ##$max;## секунд після ривка."
"menu_vr_arm_animation","Процедурні анімації рук"
"menu_vr_arm_animation_desc","Включити процедурні анімації рук. Це налаштування вмикає можливість іншим гравцям бачити ваші рухи руками."
"menu_vr_arm_animation_desc_title","Процедурні анімації рук"
"menu_vr_arm_length","Довжина руки."
"menu_vr_arm_length_desc","Довжина правої/лівої руки від плеча до кисті."
"menu_vr_arm_length_desc_title","Довжина руки."
"menu_vr_auto_reload_desc","Ви можете вибрати, чи хочете грати з автоматичною або ручною перезарядкою.$NL;$NL;Автоперезарядка автоматично перезарядить вашу зброю, коли вона спорожніє (якщо у вас залишилися боєприпаси). Натисніть кнопки затискання на руці зі зброєю, щоб ініціювати перезарядку.$NL;$NL;Якщо ви виберете ручну перезарядку, вам потрібно вручну викинути порожній магазин зі зброї, натиснувши кнопку затискання на руці зі зброєю, а потім або взяти новий магазин із коробки перезарядки на вашому поясі інтерфейсу та вставити його у зброю, або перемістити порожню зброю до коробки з магазинами."
"menu_vr_auto_reload_desc_title","Автоперезарядка"
"menu_vr_auto_reload_text","Автоперезарядження"
"menu_vr_autowarp_length","Автоматичний ривок"
"menu_vr_autowarp_length_desc","Автоматичний ривок дозволяє вам тримати натиснутою бічну панель, щоб ініціювати новий ривок, як тільки ваша здатність до ривка поповниться."
"menu_vr_autowarp_length_desc_oculus","Автоматичний ривок дозволяє тримати джойстик або кнопку Y натиснутою, щоб ініціювати новий ривок, як тільки ваша здатність до ривка поповниться."
"menu_vr_autowarp_length_desc_title","Автоматичний ривок"
"menu_vr_back","Повернутися"
"menu_vr_belt_bag","Сумка"
"menu_vr_belt_deployable","Екіпіровка"
"menu_vr_belt_deployable_secondary","Екіпіровка II"
"menu_vr_belt_grid_mode","Редагувати макет"
"menu_vr_belt_grip_distance","Затисніть, щоб налаштувати відстань."
"menu_vr_belt_grip_grid","Перетягніть та відпустіть, щоб встановити"
"menu_vr_belt_grip_grid_size","Затисніть краї, щоб змінити розмір."
"menu_vr_belt_grip_height","Затисніть, щоб редагувати висоту"
"menu_vr_belt_grip_radius","Затисніть, щоб налаштувати розмір"
"menu_vr_belt_height","Перемістіть пояс і натисніть ""Встановити висоту"", щоб зберегти."
"menu_vr_belt_invalid_position","Неправильна позиція"
"menu_vr_belt_layout_desc","Зброя, сумки та обладнання зберігаються на поясі інтерфейсу. Ви можете переміщувати та змінювати його розмір, щоб підлаштувати під свій стиль гри.$NL;$NL;Щоб редагувати макет пояса інтерфейсу, натисніть ""Редагувати макет"". Переміщуйте елементи, натискаючи кнопку затискання на коробці. Змініть розмір елементів, утримуючи їх обома руками.$NL;$NL;Не всі елементи інтерфейсу будуть завжди видимі: для ""перезарядки"" потрібна ручна перезарядка."
"menu_vr_belt_layout_desc_title","Макет ременя."
"menu_vr_belt_melee","Ближній бій"
"menu_vr_belt_release","Відпустіть, щоб встановити"
"menu_vr_belt_reload","Перезарядити"
"menu_vr_belt_reset_grid","Відновити макет."
"menu_vr_belt_save_grid","Зберегти спорядження"
"menu_vr_belt_settings","UI ремінь."
"menu_vr_belt_snap","Кут прив'язки пояса"
"menu_vr_belt_snap_desc","Кут прив'язки пояса контролює, на скільки ви можете обертати голову, перш ніж пояс інтерфейсу знову вирівняється з вашим поглядом.$NL;$NL; Якщо ви встановите його на нуль, він буде зафіксований на вашому погляді.$NL;$NL;Якщо ви встановите його на 360, він буде повністю зафіксований на місці."
"menu_vr_belt_snap_desc_title","Кут зламу поясу."
"menu_vr_belt_throwable","Метальне"
"menu_vr_belt_weapon","Зброя"
"menu_vr_calibrate","Відкалібрувати"
"menu_vr_calibrate_arm_length","Довжина руки"
"menu_vr_calibrate_body","Відкалібрувати"
"menu_vr_calibrate_body_desc","Натисніть ""Почати калібрування"" і дотримуйтеся інструкцій на екрані. Програмне забезпечення автоматично розрахує вашу довжину руки, відстань від плеча до голови та ширину плечей."
"menu_vr_calibrate_body_desc_title","Відкалібрувати"
"menu_vr_calibrate_instructions","Будь ласка, станьте прямо, дивіться вперед і виконайте наступні жести руками."
"menu_vr_calibrate_shoulder_to_head","Плече до голови"
"menu_vr_calibrate_shoulder_width","Ширина плечей."
"menu_vr_calibrate_step1","1. Підніміть руки до стелі."
"menu_vr_calibrate_step2","2. Розправте ваші руки в бік, формуючи Т-позу."
"menu_vr_calibrate_step3","3. Дайте рукам відпочити біля боків."
"menu_vr_cancel","Скасувати"
"menu_vr_collision_instant_teleport","Телепортація при зіткненні"
"menu_vr_collision_instant_teleport_desc","Телепортація при зіткненні автоматично відштовхне вас, якщо ви зіткнетеся з твердим об'єктом."
"menu_vr_collision_instant_teleport_desc_title","Телепортація при зіткненні"
"menu_vr_dead_zone_size","Розмір мертвої зони"
"menu_vr_dead_zone_size_desc","Якщо ви використовуєте ривок + прямий рух, мертва зона - це розмір круглої області в центрі панелі відстеження, яка не ініціюватиме прямий рух."
"menu_vr_dead_zone_size_desc_oculus","Контролюйте чутливість джойстика, необхідну для активації ривка або ривка + прямого руху."
"menu_vr_dead_zone_size_desc_title","Розмір мертвої зони"
"menu_vr_default_tablet_hand","Рука для планшета."
"menu_vr_default_tablet_hand_desc","Планшет - це сенсорний пристрій на вашій руці, який відстежує товаришів по команді, цілі та предмети.$NL;$NL;Ви можете взаємодіяти з планшетом, проводячи пальцем вліво або вправо по його екрану."
"menu_vr_default_tablet_hand_desc_title","Рука для планшета."
"menu_vr_default_weapon_hand","Рука для зброї"
"menu_vr_default_weapon_hand_desc","Ваша рука зі зброєю утримує, стріляє та взаємодіє з вашою обладнаною зброєю. Натисніть спусковий гачок, щоб стріляти, затисніть, щоб перезарядити, панель відстеження зліва, щоб перемикати режим вогню, і панель відстеження справа, щоб перемикати гаджети."
"menu_vr_default_weapon_hand_desc_title","Рука для зброї"
"menu_vr_descs","Показати опис VR."
"menu_vr_descs_help","Показує VR-специфічну інформацію в повноекранному режимі"
"menu_vr_enable_dead_zone_warp","Ривок в мертвій зоні"
"menu_vr_enable_dead_zone_warp_desc","Увімкнути або вимкнути ривки в мертвій зоні."
"menu_vr_enable_dead_zone_warp_desc_title","Ривок в мертвій зоні"
"menu_vr_enable_grip_toggle_desc","Перемикач затискання змінює будь-яку взаємодію, яка вимагає утримання кнопок затискання, так що вам потрібно буде натиснути їх лише один раз, а не натискати безперервно.$NL;$NL;Ваше затискання залишиться активним, поки ви не натиснете знову або не відведете руку занадто далеко від точки взаємодії."
"menu_vr_enable_grip_toggle_desc_title","Перемикач затискання."
"menu_vr_fadeout_instant","Миттєво"
"menu_vr_fadeout_smooth","Плавно"
"menu_vr_fadeout_stepped","Покроково"
"menu_vr_fadeout_type","Затухання колізії"
"menu_vr_fadeout_type_desc_fadeout_instant","Затухання зіткнення затемнює екран в чорний колір, коли ви стикаєтеся з твердим об'єктом.$NL;$NL;Миттєве затухання означає, що затухання відбудеться миттєво."
"menu_vr_fadeout_type_desc_fadeout_instant_title","Затухання зіткнення: Ступеневе."
"menu_vr_fadeout_type_desc_fadeout_smooth","Затухання зіткнення затемнює екран в чорний колір, коли ви стикаєтеся з твердим об'єктом.$NL;$NL;Плавне затухання означає, що затухання почнеться, коли ви будете близько до зіткнення, і стане темнішим, чим ближче ви підходитимете."
"menu_vr_fadeout_type_desc_fadeout_smooth_title","Затухання колізії: Плавно"
"menu_vr_fadeout_type_desc_fadeout_stepped","Затемнення при зіткненні робить екран чорним, коли ви стикаєтеся з твердим об'єктом.$NL;$NL;Поступове затемнення означає, що затемнення буде збільшуватися дискретними кроками, коли ви наближаєтеся до зіткнення."
"menu_vr_fadeout_type_desc_fadeout_stepped_title","Затухання зіткнення: Ступеневе."
"menu_vr_fast","Швидко"
"menu_vr_grip_toggle","Перемикач затискання."
"menu_vr_head_to_shoulder","Від плеча до голови"
"menu_vr_head_to_shoulder_desc","Висота від плеча до голови."
"menu_vr_head_to_shoulder_desc_title","Від плеча до голови"
"menu_vr_height_desc","Висота гравця використовується для налаштування стандартної висоти інтерфейсу поясу та для допомоги в визначенні, коли гравець нахиляється.$NL;$NL;Щоб калібрувати висоту гравця, станьте прямо і натисніть ""Калібрувати""."
"menu_vr_height_desc_title","Висота гравця"
"menu_vr_keep_items_in_hand","Тримайте предмети в руці."
"menu_vr_keep_items_in_hand_desc","Після використання метального предмета або екіпіровки ви одразу отримуєте інший в руку.$NL;$NL;Відмовтеся від предмета, натискаючи кнопки затискання на тій самій руці."
"menu_vr_keep_items_in_hand_desc_title","Тримайте предмети в руці."
"menu_vr_left","Ліво"
"menu_vr_long","Довга"
"menu_vr_medium","Середньо"
"menu_vr_movement_type","Тип руху"
"menu_vr_movement_type_desc_warp","Ривковий рух дозволяє вам пересуватися, використовуючи бічну панель відстеження. Синя лінія та синій круг позначають вашу ціль. Вам потрібно мати чистий, безперешкодний шлях між вашим положенням і ціллю.$NL;$NL;Щоб здійснити ривок, торкніться бічної панелі відстеження, щоб попередньо переглянути ваш рух, потім натисніть на панель відстеження, щоб підтвердити.$NL;$NL;Щоб стрибнути, використовуйте ті ж керування. Коли стрибок доступний, лінія та цільовий круг стануть оранжевими.$NL;$NL;Ви можете здійснити ривок лише на певну відстань, і вам потрібно чекати, поки здатність відновиться, перш ніж ви зможете знову зробити ривок."
"menu_vr_movement_type_desc_warp_oculus","Рух ривка дозволяє вам рухатися, використовуючи бічний джойстик або кнопку Y. Синя лінія та синій круг позначають вашу ціль. Вам потрібно мати чіткий, неперешкоджений шлях між вашою позицією та ціллю.$NL;$NL;Щоб переглянути ривок, покладіть великий палець на джойстик або кнопку Y.$NL;$NL;Щоб ініціювати ривок, ви можете натиснути на джойстик, натиснути вперед або натиснути кнопку Y.$NL;$NL;Щоб стрибнути, використовуйте ті ж керування. Коли стрибок доступний, лінія та ціль стануть оранжевими.$NL;$NL;Ви можете здійснити ривок лише на певну відстань, і вам потрібно почекати, поки здатність відновиться, перш ніж ви зможете здійснити ривок знову."
"menu_vr_movement_type_desc_warp_title","Налаштування ривка"
"menu_vr_movement_type_desc_warp_walk","Ривок + Прямий рух дозволяє вам безпосередньо контролювати свій рух, проводячи пальцем по бічній панелі відстеження.$NL;$NL;Якщо ви торкнетеся панелі відстеження в центральній мертвій зоні, ви ініціюєте ривковий рух.$NL;$NL;Якщо ви проводите пальцем до краю панелі відстеження в будь-якому напрямку, ви почнете рухатися в цьому напрямку."
"menu_vr_movement_type_desc_warp_walk_oculus","Ривок + Прямий рух дозволяє вам здійснити ривок, а також безпосередньо контролювати свій рух, використовуючи бічний джойстик.$NL;$NL;Щоб рухатися, натисніть бічний джойстик у бажаному напрямку.$NL;$NL;Щоб здійснити ривок, натисніть джойстик або кнопку Y.$NL;$NL;Щоб стрибнути, використовуйте ті ж керування. Коли стрибок доступний, лінія та цільовий круг стануть оранжевими."
"menu_vr_movement_type_desc_warp_walk_title","Налаштування Dash + Direct"
"menu_vr_off","Вимкнено"
"menu_vr_on","Увімкнено"
"menu_vr_open_advanced","Просунуто"
"menu_vr_open_arm_animation","Анімація рук."
"menu_vr_open_arm_animation_calibrate","Відкалібрувати"
"menu_vr_open_controls","Рух"
"menu_vr_open_gameplay","Геймплей"
"menu_vr_open_interface","Інтерфейс"
"menu_vr_reset","Скинути"
"menu_vr_reset_all","Скинути все"
"menu_vr_right","Право"
"menu_vr_rotate_player_angle","Повернути кут гравця."
