ID,String
"8db63936938575bf",""
"8db63936938575bf",""
"310df33003cb9c72","Blaine Keegan"
"heist_mex_cooking_briefing","You know the routine friends. Just keep cooking as long as you can and this will be a nice boost to our finances. I will assist you as much as I can. The Coyopas will not be happy to see you, and they've got help from my former colleagues at Murkywater, so you will have your hands full, but it will be worth it, yeah?"
"heist_framing_frame","Framing Frame"
"heist_safehouse_hl","The safe house"
"heist_arena_crimenet","Alesso is in town tonight. He's playing at the GenSec Arena, and that's where we're headed. But Alesso isn't the target. The Arena doubles as a secured fortress, and it's where GenSec are showcasing their new vault - the Investment Safe. They think it's impenetrable. Let's prove them wrong. $NL;$NL;» Search the arena and locate the C4 $NL;» Plant the C4 in the garage beneath the vault $NL;» Hack into the Pyro Booth and detonate the C4 $NL;» Drill the vault bottom $NL;» Secure the loot and escape"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_airport_crimenet","The FBI has intercepted Vlad's weapon deal at the airport. He needs your help retrieving his hardware$NL;$NL;» Locate the hangar where the weapons are$NL;» Bring the weapons back to the van"
"heist_sah","Shacklethorne Auction"
"heist_firestarter_crimenet","Hector needs you in the war against the Mendoza cartel.$NL;$NL;» Intercept the Mendoza weapon shipment at the airport$NL;» Retrieve cartel data from the FBI offices$NL;» Burn down the bank holding Mendoza money"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_pal_crimenet","Pack your bags, gang. This one is south of the Mason-Dixie. We're going after Mitchell and Wilson - couple of counterfeiters down in Pensacola. Running a printing operation out of his basement. It's a discreet operation, and this guy's work is solid, so he's making serious bank. Let's grab a piece!$NL;$NL;» Meet up with Mitchell$NL;» Breach into the basement$NL;» Extract the counterfeit plates and escape"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_skm_run_crimenet","Locke wants you to get the old factory storage yard and hold the escaped prisoner hostage.$NL;$NL;» Protect the hostage$NL;» Hold out for as long as you can$NL;» Negotiate the ransom$NL;$NL;"
"heist_contact_bain_description","The shadowy figure behind Crime.net. No one, not even the crew, has ever met Bain, and his interaction with the contacts and the crew is carefully managed to ensure minimum risk to all parties."
"heist_wwh_crimenet","Dear friends, I need assistance unloading some weapons. I have set up a deal in Alaska, but I need an escort to keep the transaction secure, yeah?"
"heist_des","Henry's Rock"
"8db63936938575bf",""
"heist_skm_mallcrasher","Mallcrasher"
"heist_kenaz_crimenet","The Golden Grin Casino in Las Vegas is holding an item of loot that The Dentist wants. Get it out for him.$NL;$NL;» Use Pre-Planning to choose a loud or stealthy entry$NL;» Enter the casino$NL;» Follow your plan $NL;» Find a way to get into the vault $NL;» Recover the mysterious loot for The Dentist"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_escape_cafe_hl","Cafe Escape"
"heist_nmh","No Mercy"
"8db63936938575bf",""
"eday3_brief_skip1","That truck you assholes tagged wasn't the right one, so we can forget about intercepting those voting machines. We're going to try something else to keep the Elephant sweet. We can trigger a re-election by scrambling the server at the polling place. To avoid suspicion on our sponsor, we'll make it look like collateral damage by robbing the bank next door."
"heist_contact_the_elephant","The Elephant"
"8db63936938575bf",""
"heist_arm_hcm_hl","Transport: Downtown"
"heist_tag_crimenet","The FBI have arrested the Elephant only to get an object in his possession, in order to trade it to the Kataru so that Commissioner Garrett can take the credit for ending Bain. The deal is taking place tonight, but we're going to break into the FBI and get the item first. $NL;$NL;» Make your way past security$NL;» Locate Garrett's office$NL;» Distract Garrett$NL;» Take the object from his possession and escape"
"8db63936938575bf",""
"heist_branchbank_cash_briefing","This is a hit on a medium-sized bank but it doesn't mean it'll be easy. We're going for cash. You want to find the vault, get the thermal drill out, crack the door, bag up the cash and escape at our van. Oh - my guy stashed the thermal drill around the back of the bank. Good luck out there people..."
"8db63936938575bf",""
"8db63936938575bf",""
"heist_roberts_hl","GO Bank"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_welcome_to_the_jungle_crimenet","The Elephant needs a politically-disruptive invention dealt with.$NL;$NL;» Find more information about the inventor$NL;» Locate and steal the invention"
"heist_chew","Interception"
"8db63936938575bf",""
"heist_contact_vlad","Vlad"
"heist_hvh_crimenet","Tick tock little heisters, tick tock ..."
"heist_firestarter_3_hl","Trustee Bank"
"heist_lucid_hl","The Search"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_mad","Boiling Point"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_cane_briefing","Straightforward job, this one. A bunch of thugs are running a little operation. Got a bunch of "elves" cutting coke that Vlad wants. Deal with the thugs, and then get the elves producing. Shouting at them should do it. Get as much coke as Vlad needs, and we're done."
"heist_skm_mus_h1","The Diamond"
"heist_short2_stage2b_briefing","It's not over yet, Dallas! We picked up more heat than I expected and the cops are on your tail. Try to shake them before they close you off and things get hairy!"
"8db63936938575bf",""
"8db63936938575bf",""
"heist_kosugi_hl","Shadow Raid"
"8db63936938575bf",""
"heist_tag_briefing","Now, we don't know exactly what we're after, beyond it being an object- it's probably one of those know-it-when-you-see it type things, but it's likely that Garrett has already taken it from Evidence and stashed it somewhere in his office. My contact inside said he's there and seems... distracted, so the meeting is definitely close. We've got to sneak in there now if we're going to have a chance of stealing the item from under him. It's important that we go in and stay quiet. And don't go killing Garrett- we're probably going to need that chop later."
"heist_framing_frame_2_hl","Train Trade"
"heist_crojob1","The Bomb: Dockyard"
"heist_arm_hcm_crimenet","Bain has intercepted a convoy of armored GenSec trucks. They're carrying high-value cargo and you need to get in fast and steal it.$NL;$NL;» Break into the immobilized trucks$NL;» Crack open the strongboxes$NL;» Get the loot to the getaway vehicle"
"heist_contact_jiufeng_description_old","So, hmm. You may call me, Jiu Feng. Word on the street is that the Payday gang are a solid group to deal with, right? And, that you always need more... suppliers. I think my services may be of interest. Maybe something even... long-term can be arranged. Think it over and, we'll talk soon, right?"
"heist_arm_par_hl","Transport: Park"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"heist_fish","The Yacht Heist"
"heist_short2_stage1_hl","Loud - Get The Coke"
"heist_haunted_crimenet","Wake up..."
"heist_gallery_crimenet","Bain wants you to head back to the Art Gallery.$NL;$NL;» Case the place carefully.$NL;» Check for guards and cameras$NL;» Bag the marked out paintings and get to the escape van"
"heist_haunted","Safe house Nightmare"
