ID,String
"hud_action_inserting_usb","Inserting usb"
"b39d404a1fcca56f","Search for all research documents on the Neo-2 and secure them."
"hud_heist_hox1_11","Remove the police stingers from the truck's path."
"8db63936938575bf",""
"hud_heist_arena_mission6","Once hacked in, Bain will sync the C4 with the concert pyrotechnics."
"hud_action_open_door","Opening door"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_bex23_hl","Get the key"
"hud_heist_des18","Search the biolab for the correct chemicals to create a corrosive compound."
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_flat_detach_hl","Setup the saws"
"39f5dc388d124ac1","Stay out of sight while our tanker siphons the oil. Someone might get suspicious about the last-minute transfer, so be ready for anything."
"hud_heist_spa_15_hl","Wait for Bain's instructions"
"victory_favourite_weapon","FAVORITE WEAPON:"
"8db63936938575bf",""
"hud_heist_flat_roof","Get rid of all the law enforcers on the roof."
"hud_connect_cable","Hold $BTN_INTERACT; to connect the cable to the power socket"
"hud_heist_jerry_plane_03_hl","Reach the cargo controls"
"8db63936938575bf",""
"hud_e_framing_frame_stage3_mission13","Get to the escape vehicle"
"8db63936938575bf",""
"hud_heist_pent14_hl","Access the secret room"
"loading_gameplay_72","When your armor is low, take cover, it will regenerate over a short time and you will stay alive longer."
"hud_heist_kenaz_s_010a_hl","Find three numbers for the vault code"
"ae824b3f7a270050","There are still scientists working in the laboratory. Find a way to get rid of them."
"hud_heist_chca35","Signal Bile and he'll come to pick up the vault."
"hud_heist_hox9","Hoxton has copied all the information he found to a server, which must be brought to the escape vehicle."
"hud_action_connecting_which_hook","Connecting winch to the BFD"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_h_alex_stage1_mission2","Defend the cooks and cook the meth"
"hud_equipment_need_files","You need the files!"
"hud_heist_kenaz_s_03_hl","Download the guest list"
"hud_heist_short1_stage1_16","Escape the area."
"loading_trivia_57","Bonnie isn't good with computers."
"8db63936938575bf",""
"hud_stats_tracked","TRACKED ACHIEVEMENTS"
"hud_heist_fex17_hl","Assemble The Explosives"
"hud_heist_bex31","Move any cars out of the way to clear access for the escape van."
"8db63936938575bf",""
"hud_heist_fex18","Protect the explosives from the cops so they don't disarm them."
"hud_heist_short1_stage1_01","Cut the fence to gain entry into the compound."
"hud_carry_giant_toothbrush","Giant toothbrush"
"hud_int_hold_add_compound_c","Hold $BTN_INTERACT; to add compound c"
"hud_instruct_mask_on","Hold $BTN_USE_ITEM; to put on mask"
"hud_heist_spa_21_hl","Locate the VIP"
"hint_been_electrocuted","You are being electrocuted!"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_cag1_11","Go to the escape van."
"hud_action_craft_sheriff_star","Crafting sheriff star"
"hud_heist_hox1_4_hl","Clear a path for the truck"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_int_hold_activate_camera","Hold $BTN_INTERACT; to place the camera"
"hud_heist_pex27","Hack the armory door in order to gain access."
"hud_heist_fex34","Enter the keypad code to unlock the wine cellar door."
"hud_action_removing_armor_plating","Removing armor plating"
"hud_action_searching_files","Searching files"
"8db63936938575bf",""
"hud_heist_short1_stage1_04","Use a body bag to move the body."
"8db63936938575bf",""
"hud_heist_trai27_hl","Escape available"
"8db63936938575bf",""
"hud_buff_birthday_ammo_refresh","Ammo Refresh"
"8db63936938575bf",""
"hud_action_taking_necklace","Taking the diamond necklace"
"hud_int_numpad_no_keycard","You need a keycard to disable the display case alarm"
"hud_heist_crojob1_mission2_b_03","Place the C4 on the dock gate."
"hud_heist_des3_hl","Hack the mainframe"
"hud_action_taking_briefcase","Taking briefcase"
"8db63936938575bf",""
"hud_heist_kenaz_c_32_hl","Get into the vault"
"hud_heist_sand23","Find a way to raise the ship's ramp so the skid loader can get up and across."
"hud_int_hold_take_gas","Hold $BTN_INTERACT; to take the gasoline"
"hud_heist_trai09","You need to prepare your locomotive for escape, but the work can't look suspicious. Patch Locke into the PA system so he can announce the train's departure."
"hud_action_ringing_bell","Ringing bell"
"loading_heister_44","Maximum Force Responders are outfitted with tan or gray body armor. Most weapons won't penetrate it, so aim for the head or flank them."
"8db63936938575bf",""
"hud_int_equipment_sensor_mode_trip_mine","Press $BTN_INTERACT; to Switch Trip Mine to Sensor Mode"
"8db63936938575bf",""
"hud_int_hold_connecting_wire_to_elevator","Connecting the wire to the elevator"
"hud_heist_pex_mission24_hl","Defend the Fire"
"hud_action_bypassing_the_firewall","Bypassing firewall"
"hud_heist_bex35","Start drilling through the vault door."
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_bph_4_hl","Access the Control Room"
"8db63936938575bf",""
"hud_heist_chas3_hl","Find a keycard to the back door"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_uncuffed_in","Uncuffed in"
"hud_assault_pnr_goloud","Detected in: "
"hud_e_election_day_stage3_mission2c_hl","Hold out until it's done"
"hud_heist_friend_anger_1b_hl","Attach the cars to the magnet"
"hud_heist_man8_hl","Get the codes"
"8db63936938575bf",""
"hud_heist_nmh_10_hl","Wait for the elevator"
"8db63936938575bf",""
"hud_deploying_equipment","Deploying $EQUIPMENT;"
"hud_heist_arena_mission12_hl","Escape available"
"hud_carry_diamond_necklace","Diamond necklace"
"hud_heist_red2_mission1_hl","Enter the bank"
"hud_escape_jolly_mission1_hl","Locate the transport vans"
"hud_heist_man4","Shoot at the cables snagging the limo to make it fall!"
"hud_equipment_drill","Drill"
"hud_heist_hvh_05_hl","Press the escape button"
"hud_weekly_skirmish","Weekly Holdout"
"8db63936938575bf",""
"hud_heist_pent01_hl","Infiltrate and find the elevators"
"hud_heist_fex30_hl","Find The Blowtorch"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_mex5_hl","Set up the breaching charges"
"8db63936938575bf",""
"hud_heist_des28_hl","Replace the batteries"
"8db63936938575bf",""
"vhl_lawn_mower_name","Lawn Mower"
"hud_action_cutting_fence","Cutting fence"
"8db63936938575bf",""
"hud_action_taking_medallion","Taking the medallion"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_e_welcome_jungle_stage2_mission2","Hack the security system in order to get access to Rossy's Lab"
"hud_e_election_day_stage2_mission4_hl","Escape is available"
"hud_heist_des15","Pick up the box from the ark."
"8db63936938575bf",""
"hud_h_firestarter_stage3_mission2","The vault is electrified! Turn off the power in order to set up the drill"
"hud_heist_pent19_hl","Steal the hard drive"
"hud_action_booting_generator","Booting up the generator"
"vhl_van_name","Van"
"8db63936938575bf",""
"hud_heist_chca15","Secure some cash for yourself!"
"hud_heist_crojob2_mission13_hl","Wait for the helicopter"
"heist_help_crimenet","As sleep takes us, we drift into that strange land beyond the waking world. And who knows what might be waiting for us there..."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_crojob1_mission8_a_hl","Take the bomb parts to the van"
"8db63936938575bf",""
"hud_action_start_fire","Starting the fire"
"hud_heist_des26","Press the red button to fire the weapon."
"hud_roberts_mission15","Throw a bag over the yellow wall by the auto repair shop."
"hud_heist_cag1_11_hl","Escape!"
"hud_heist_mia_mission21_hl","Wait for the thermal drill"
"hud_heist_kenaz_s_012b","Enter the three numbers into the vault security system. Remember to put them in in the correct order."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"loading_gameplay_92","Don't run out of cover without checking if Snipers are present as they could deplete your health even with a full armor."
"hud_heist_crojob2_mission27_hl","Find the explosives"
"hud_action_open_slash_close","Opening/closing"
"8db63936938575bf",""
"hint_you_helpedup","You helped $TEAMMATE; up!"
"hud_int_equipment_drill_upgrade","Hold $BTN_INTERACT; to upgrade the drill"
"8db63936938575bf",""
"805f5c013baf9aa4","Hold $BTN_INTERACT; to search shelf"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_brb_02","Use the exterior scaffolding to reach the second floor."
"hud_heist_des35_hl","Wait for the escape"
"8db63936938575bf",""
"hud_cam_access_camera_teller","Teller desks"
"hud_int_hold_take_safe","Hold $BTN_INTERACT; to take the safe"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_heist_red2_mission10_hl","Drop off the loot"
"hud_action_taking_sandwich","Taking Almir's toast"
"8db63936938575bf",""
"8db63936938575bf",""
"hud_action_hacking_numpad","Hacking numpad"
"8db63936938575bf",""
"hud_heist_mex21","Use C4 to blow open the runway gates."
"8db63936938575bf",""
"hud_heist_big_mission3","Figure out which staff computer it is and access it locally. Worst case scenario you can always hack them all."
"8db63936938575bf",""
"hud_int_take_mayan_gold_bar","Hold $BTN_INTERACT; to take mayan gold bar"
"8db63936938575bf",""
"hud_ind_new_esc_2","Wait for the helicopter to arrive at the museum."
"8db63936938575bf",""
"hud_heist_crojob1_mission5_b_01_hl","Hack the ship control terminal"
"hud_heist_nail_3_hl","Add the correct ingredient"
"hint_ammo_bag_PS3","You can select the ammo bag in your inventory and press $BTN_USE_ITEM; to place it."
"hud_int_search_for_documents","Hold $BTN_INTERACT; to search through documents"
"hud_heist_jerry01_12","Fight your way to the overhead control room."
"8db63936938575bf",""
"8db63936938575bf",""
