ID,String
"achievement_ggez_5_desc","Complete all of Dentist's contracts on the Death Sentence difficulty."
"achievement_chca_11_desc","In the Black Cat job on the OVERKILL difficulty or above, find and open Xun Kang's secret safe."
"achievement_gage_5","Inception"
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_ignominy_18","Becoming Savage"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_skm_12_additional","This achievement requires you to play from the lobby to the end of the heist."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_bat_6","Diamonds in the Rough"
"achievement_pex_1_additional","This achievement requires you to play from the lobby to the end of the heist."
"achievement_gage5_10_desc","Kill 200 enemies using the Clarion rifle."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_pig_1","Wrong Number"
"8db63936938575bf",""
"achievement_death_21_additional","This achievement requires you to play from the lobby to the end of the heist."
"achievement_chas_8_additional","This achievement requires you to play from the lobby to the end of the heist. You can activate the One Down mechanic on the Buy Contract screen."
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_born_5_desc","Complete day 2 of The Biker Heist within 120 seconds on the OVERKILL difficulty or above."
"8db63936938575bf",""
"achievement_grill_4_unlock","Unlocks "The Chef" mask, "Toast" material and "Hot Flames" pattern."
"achievement_cac_27_additional","This achievement requires you to play from the lobby to the end of the heist. This Achievement was suggested by the PAYDAY 2 Community."
"achievement_bat_2_desc","In The Diamond job, complete the heist without triggering the alarm."
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_grill_2_unlock","Unlocks "The Gas Mask" mask, "Candlelight" material and "Flammable" pattern."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_ameno_4","Here Comes the Pain Train"
"8db63936938575bf",""
"achievement_run_4_desc","Complete the Heat Street job on the OVERKILL difficulty or above."
"achievement_pex_9_unlock","Unlocks the "Desert" weapon color."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_pig_7","Phew!"
"8db63936938575bf",""
"achievement_pick_11_additional","This achievement requires you to play from the lobby to the end of the heist."
"achievement_chca_1_additional","This achievement requires you to play from the lobby to the end of the heist."
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_axe_15_additional","This achievement requires you to play from the lobby to the end of the heist. You can activate the One Down mechanic on the Buy Contract screen."
"achievement_axe_1_desc","Complete the Ukrainian Job on the Death Sentence difficulty with the One Down mechanic activated."
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_cac_4_additional","This achievement requires you to play from the lobby to the end of the heist. This Achievement was suggested by the PAYDAY 2 Community. Using bows will fail this Achievement."
"8db63936938575bf",""
"achievement_cac_36_additional","This Achievement was suggested by the PAYDAY 2 Community."
"8db63936938575bf",""
"achievement_pick_63_desc","Complete all of Hector's contracts on the Mayhem difficulty or above."
"achievement_bigbank_3_desc","Complete The Big Bank job with 16 secured bags."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"achievement_axe_47_additional","This achievement requires you to play from the lobby to the end of the heist. You can activate the One Down mechanic on the Buy Contract screen."
"8db63936938575bf",""
"achievement_gage3_3","Lord of the Flies"
"8db63936938575bf",""
"achievement_gage3_8_desc","Perform a headshot kill on enemies using only the R93 sniper rifle while zip lining."
