ID,String
"savefile_progress_description","Player statistics and game progression."
"savefile_game_title","PAYDAY 2"
"savefile_autosave","$TEXT_WITH_DATE; - AUTO SAVE"
"8db63936938575bf",""
"8db63936938575bf",""
"savefile_removing","Removing..."
"8db63936938575bf",""
"savefile_loading","Loading..."
"8db63936938575bf",""
"savefile","$TEXT; - $DATE;"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"savefile_empty","[New Save File]"
"8db63936938575bf",""
"savefile_setting_description","User specific game settings."
"8db63936938575bf",""
"savefile_progress","Player progression: Version $VERSION; or higher is required."
"savefile_setting","Game settings: Version $VERSION; or higher is required."
"savefile_saving","Saving..."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
