ID,String
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"loc_des_12_01","...Find the computer lab, hack into a terminal and search for the box's location."
"loc_pent_65_01","Seems like Wang is making a run for it. He's heading for the roof. Hunt him down and take him out. It's time to put an end to this."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_ch1_25_01","OK. Give me a minute or so."
"loc_trai_18_03","That's the Army's wagon. The plates must be inside that train car."
"8db63936938575bf",""
"loc_sah_27_01","The code is on the screen."
"dr2_a01a_any_07","Aw shit!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"loc_mex_cook_11_19","...it's a toss-up, really."
"8db63936938575bf",""
"8db63936938575bf",""
"pln_run_03_01","This startled the whole town! The cops are locking everything down!"
"loc_tag_42_01","Hey, how did you do that so quickly, friends? Old Locke almost feels unnecessary..."
"plt_a01d_any_11","Prepare for a rough landing, guys!"
"8db63936938575bf",""
"pln_sh12_01_01","We're doing this nice and quiet. The computer we're looking for should be located on the second floor. "
"8db63936938575bf",""
"pln_cr2_36_03","I was afraid of this. The containers are shut and locked. Gonna have to drill them."
"350765dfc931fc80","Oh fuck, I heard about that shootout! Y'all got hit by the Payday Gang!"
"loc_des_26_03","Find anything useful nearby to use on the crate?"
"pln_watchdogs_stage2_24_any_01","They are taking the bags!"
"fri_dsp_radio_suspicious_1_05","Oh ok. But we're sending a team over to have a look."
"pln_cs1_128_01","Leave it with me. I can certainly help you with that."
"8db63936938575bf",""
"8db63936938575bf",""
"pln_nightclub_stage1_end_b_04","I'm sure Vlad wanted some more blood but this was clean and mean. The Russians will know they got hit by pros. See you back at the safe house."
"pln_ed2_01_03","First, you gotta break into the warehouse. It'd be great if you can keep the noise down."
"8db63936938575bf",""
"loc_pex_73_05","Keep looking for that cell block!"
"8db63936938575bf",""
"loc_sand_113_03","Either direction will get you where you need to be, so go on. No turning back now."
"loc_skm_04_03","Stay lively, friends. Assault wave incoming."
"pln_fri_46_01","Search those bags of coke, guys."
"8db63936938575bf",""
"est_ranc_05_03","They're my guns, asshole! Mine!"
"8db63936938575bf",""
"loc_skm_20_02","They're going to keep sending harder kerels, friends."
"8db63936938575bf",""
"alm_xmas22_06_05","When we get outta here, we're gonna open the shit outta that present! Don't you die on me!"
"8db63936938575bf",""
"mch_brn_19_02b","Oh! I almost forgot! I need one more... special ingredient. Yeah, that's right. The mechanic needs a coke from the vending machine. Chop chop, pretty please."
"8db63936938575bf",""
"8db63936938575bf",""
"pln_cs1_119_04","Thank you for your call. We look forward to hearing from you again."
"rph_dah_03_02","My Daddy's a powerful man! He knows the President!"
"8db63936938575bf",""
"8db63936938575bf",""
"loc_vit_77_02","We gotta get past that gate. Look around and see if you can find something useful."
"lt2_pft_02_04","... Take these sons of bitches out!"
"8db63936938575bf",""
"8db63936938575bf",""
"loc_bex_intro_01_01","Ghaa! What the blerrie!? Vlad, you dronkie chop, what...!? Get out of here!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_sh12_28_03","Have you lost your mind? Stop shooting the cameras!"
"c1bac74f2bcd68c8","Next up, let's head to the Research Center. We need to round up any documents that mention the Neo-2."
"pln_cr2_59_02","God damn it! They locked the containers! Must've been the alarms. Alright, we break through."
"pln_dn1_07_01","Grab the C4, gang! "
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"gar_tag_04_02","Commissioner Garrett Speaking. What? Is this a joke? GOODBYE."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_mad_25_02","Guys, look for a way to shut off the gas!"
"8db63936938575bf",""
"pln_mad_intro_01_03","Anti-air defenses?! Are you shitting me?! Turn the plane around, Bile! Do it now! Guys, take the parachutes and jump out! "
"8db63936938575bf",""
"8db63936938575bf",""
"bot_gen_56a_any_04","I'm moving out."
"elp_bigoil_brf_speak_02","An inventor named Rossy - residing somewhere in DC - may have found a cheap way to produce energy from water."
"loc_bex_66_02","Kerels got to the IT guy, get in there and stop them!"
"pln_fs1_11_any_01","Well done guys."
"mrb_rvd1_13_02","I got us someone to make sure the stuff doesn't get stolen from the trunk."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_pal_59a_02","Remember - the explosion may have scattered the loot across the floor."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_run_16_01","Alright, fry that bastard, see how long he lasts."
"loc_vit_26_03","Keep looking for the USB stick, friends."
"8db63936938575bf",""
"ict2_tra_06_06","Are you having second thoughts or what!?"
"8db63936938575bf",""
"bul_fex_tap02_01","Hola?"
"bul_fex_tap06_02","What? Who is this?"
"8db63936938575bf",""
"8db63936938575bf",""
"pln_pt2_01_01","Drop them, crew!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"5b8ce05bb42a9f30","Now, find the transfer hose and lower it down."
"8db63936938575bf",""
"rt1_trald_02_03","This is fine, we'll take it."
"8db63936938575bf",""
"bik2_gc_01_26","You made a mighty big mistake coming here!"
"dr2_a01b_any_07","Half the Washington PD is behind us!"
"pln_rats_stage1_12_any_01","They are coming from the railway bridge! Watch out!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"bik1_aes_01_16","Who the hell do you think you are!?"
"pln_mad_19_03","Guys! Every time the mercenaries mess with the EMP, the charging process decreases! Don't let them touch it!"
"gem_ranc_cnc_01","You want fancy guns? I want to hurt the bastard who's got 'em."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_sh12_04_03","You get to make a lot of money if you do as I say. Now, proceed inside and get that door open."
"8db63936938575bf",""
"8db63936938575bf",""
"rt2_gc_01_02","I'm gonna fuck you up!"
"yuw_pent_threat_03","How entertaining, you truly won't give up, and you're destroying quite a bit of my property in your wake. No matter, I can rebuild, but you won't be able to come back from the dead.
I think I will relax, enjoy you stumbling about on your way to me. My men will make sure that you're good and tender before you march to your death."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"pln_fs1_05_any_01","Keep and eye on that control tower guys, I thought I saw some movement up there."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"bik2_aes_01_18","The hell do you think you're doing?"
