ID,String
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"wp_xsub_watervalve","Open the Valve"
"wp_uc_computer","Continue Hack"
"8db63936938575bf",""
"wp_xsub_waterhose","Pull the Hose"
"wp_xsub_safe","Investigate the Safe"
"wp_xsub_door","Open the Door"
"wp_ap_escape","Escape!"
"wp_xsub_hack","Override the System"
"8db63936938575bf",""
"8db63936938575bf",""
"wp_xsub_shelter","Get to the Shelter"
"wp_xsub_sewer","Sewer"
"wp_uc_saw","Saw the Limo"
"wp_xsub_tnt","Place the Charge"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"wp_xsub_watertap","Open the Tap"
"wp_xsub_outlet","Plug into Power Outlet"
"wp_xsub_bbq","Talk to Mitchell"
"wp_bridge_escape","Escape!"
"8db63936938575bf",""
"wp_xsub_escape","Escape!"
"8db63936938575bf",""
"wp_bank_escape","Escape!"
"8db63936938575bf",""
"wp_xsub_power","Turn on the Power"
"wp_uc_check_limo","Check the Limo"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"wp_uc_escape","Escape!"
"wp_uc_power","Get the Power Back On"
"wp_uc_interogate","Get the Code Words"
"wp_uc_keyboard","Use the Keyboard"
"wp_str_esc","Escape!"
"wp_slaughterhouse_escape","Escape!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
